zh_synonym,subcategory_en,category,catid
各种各样的,MISC,CHEMICALS,CHEMMisc
树铃,CHIME,CLOCKS,CLOCKChim
绕组,MECHANICS,CLOCKS,CLOCKMech
时钟齿轮,MECHANICS,CLOCKS,CLOCKMech
布谷鸟钟,MECHANICS,CLOCKS,CLOCKMech
各种各样的,MISC,CLOCKS,CLOCKMisc
鸡蛋计时器,TICK,CLOCKS,CLOCKTick
沙沙声,FLAP,CLOTH,CLOTHFlp
降落伞,FLAP,CLOTH,CLOTHFlp
斗篷,FLAP,CLOTH,CLOTHFlp
拿衣服,HANDLE,CLOTH,CLOTHHndl
整理衣服,HANDLE,CLOTH,CLOTHHndl
抓衣服,IMPACT,CLOTH,CLOTHImpt
挠衣服,IMPACT,CLOTH,CLOTHImpt
各种各样的,MISC,CLOTH,CLOTHMisc
沙沙声,MOVEMENT,CLOTH,CLOTHMvmt
电影摄影机,AUDIO VISUAL,COMMUNICATIONS,COMAv
胶片相机,AUDIO VISUAL,COMMUNICATIONS,COMAv
CD 播放器,AUDIO VISUAL,COMMUNICATIONS,COMAv
ipod,AUDIO VISUAL,COMMUNICATIONS,COMAv
DVD,AUDIO VISUAL,COMMUNICATIONS,COMAv
VCD,AUDIO VISUAL,COMMUNICATIONS,COMAv
蓝光机,AUDIO VISUAL,COMMUNICATIONS,COMAv
相机快门,CAMERA,COMMUNICATIONS,COMCam
尼康,CAMERA,COMMUNICATIONS,COMCam
佳能,CAMERA,COMMUNICATIONS,COMCam
富士,CAMERA,COMMUNICATIONS,COMCam
富士胶片,CAMERA,COMMUNICATIONS,COMCam
玛米亚,CAMERA,COMMUNICATIONS,COMCam
哈苏,CAMERA,COMMUNICATIONS,COMCam
徕卡,CAMERA,COMMUNICATIONS,COMCam
手机,CELLPHONE,COMMUNICATIONS,COMCell
智能手机,CELLPHONE,COMMUNICATIONS,COMCell
iphone,CELLPHONE,COMMUNICATIONS,COMCell
黑莓手机,CELLPHONE,COMMUNICATIONS,COMCell
翻盖手机,CELLPHONE,COMMUNICATIONS,COMCell
麦克风啸叫,MICROPHONE,COMMUNICATIONS,COMMic
麦克风杂音,MICROPHONE,COMMUNICATIONS,COMMic
扩音器,MICROPHONE,COMMUNICATIONS,COMMic
各种各样的,MISC,COMMUNICATIONS,COMMisc
留声机,PHONOGRAPH,COMMUNICATIONS,COMPhono
黑胶唱片,PHONOGRAPH,COMMUNICATIONS,COMPhono
短波,RADIO,COMMUNICATIONS,COMRadio
白噪,RADIO,COMMUNICATIONS,COMRadio
莫尔斯电码,TELEMETRY,COMMUNICATIONS,COMTelm
遥测,TELEMETRY,COMMUNICATIONS,COMTelm
sos,TELEMETRY,COMMUNICATIONS,COMTelm
公用电话,TELEPHONE,COMMUNICATIONS,COMTelph
旋转拨号,TELEPHONE,COMMUNICATIONS,COMTelph
有线电话,TELEPHONE,COMMUNICATIONS,COMTelph
节目,TELEVISION,COMMUNICATIONS,COMTv
节目,TELEVISION,COMMUNICATIONS,COMTv
futz,TELEVISION,COMMUNICATIONS,COMTv
cb,TRANSCEIVER,COMMUNICATIONS,COMTran
业余无线电,TRANSCEIVER,COMMUNICATIONS,COMTran
收发器,TRANSCEIVER,COMMUNICATIONS,COMTran
静噪,TRANSCEIVER,COMMUNICATIONS,COMTran
电传打字机,TYPEWRITER,COMMUNICATIONS,COMType
压板旋钮,TYPEWRITER,COMMUNICATIONS,COMType
触控板,KEYBOARD & MOUSE,COMPUTERS,CMPTKey
海妖,AQUATIC,CREATURES,CREAAqua
美人鱼,AQUATIC,CREATURES,CREAAqua
巨型鱿鱼,AQUATIC,CREATURES,CREAAqua
外星鸟类,AVIAN,CREATURES,CREAAvian
幻想的鸟类,AVIAN,CREATURES,CREAAvian
奇幻鸟类,AVIAN,CREATURES,CREAAvian
猛犸象,BEAST,CREATURES,CREABeast
长毛象,BEAST,CREATURES,CREABeast
变形怪体,BLOB,CREATURES,CREABlob
粘稠状的生物,BLOB,CREATURES,CREABlob
雷龙,DINOSAUR,CREATURES,CREADino
迅猛龙,DINOSAUR,CREATURES,CREADino
三角龙,DINOSAUR,CREATURES,CREADino
剑龙,DINOSAUR,CREATURES,CREADino
暴龙,DINOSAUR,CREATURES,CREADino
异特龙,DINOSAUR,CREATURES,CREADino
棘龙,DINOSAUR,CREATURES,CREADino
腕龙,DINOSAUR,CREATURES,CREADino
始祖鸟,DINOSAUR,CREATURES,CREADino
翼龙,DINOSAUR,CREATURES,CREADino
翼手龙,DINOSAUR,CREATURES,CREADino
德雷克,DRAGON,CREATURES,CREADrgn
岩石怪物,ELEMENTAL,CREATURES,CREAElem
火怪物,ELEMENTAL,CREATURES,CREAElem
冰怪物,ELEMENTAL,CREATURES,CREAElem
岩石巨人,ELEMENTAL,CREATURES,CREAElem
冰巨人,ELEMENTAL,CREATURES,CREAElem
空灵的人声,ETHEREAL,CREATURES,CREAEthr
幻影,ETHEREAL,CREATURES,CREAEthr
活死人,HUMANOID,CREATURES,CREAHmn
天狗,HUMANOID,CREATURES,CREAHmn
妖精,HUMANOID,CREATURES,CREAHmn
大脚怪,HUMANOID,CREATURES,CREAHmn
沼泽物,HUMANOID,CREATURES,CREAHmn
狼人,HUMANOID,CREATURES,CREAHmn
科学怪人,HUMANOID,CREATURES,CREAHmn
巨型蚂蚁,INSECTOID,CREATURES,CREAInsc
巨型蜘蛛,INSECTOID,CREATURES,CREAInsc
不符合列表中分类的其他生物,MISC,CREATURES,CREAMisc
哥斯拉,MONSTER,CREATURES,CREAMnstr
金刚,MONSTER,CREATURES,CREAMnstr
巨蜥,REPTILIAN,CREATURES,CREARept
巨蛇,REPTILIAN,CREATURES,CREARept
嘶声怪,REPTILIAN,CREATURES,CREARept
仙女,SMALL,CREATURES,CREASmall
小精灵,SMALL,CREATURES,CREASmall
类啮齿类的小生物,SMALL,CREATURES,CREASmall
吠声,SOURCE,CREATURES,CREASrce
呼吸声,SOURCE,CREATURES,CREASrce
咔嗒声,SOURCE,CREATURES,CREASrce
咕噜声,SOURCE,CREATURES,CREASrce
嚎叫声,SOURCE,CREATURES,CREASrce
咆哮声,SOURCE,CREATURES,CREASrce
呻吟声,SOURCE,CREATURES,CREASrce
用口型默示,SOURCE,CREATURES,CREASrce
咆哮声,SOURCE,CREATURES,CREASrce
尖叫声,SOURCE,CREATURES,CREASrce
长声尖叫,SOURCE,CREATURES,CREASrce
呜呜声,SOURCE,CREATURES,CREASrce
骚乱,ANGRY,CROWDS,CRWDAngr
暴动,ANGRY,CROWDS,CRWDAngr
校园暴力,ANGRY,CROWDS,CRWDAngr
战斗呐喊,BATTLE,CROWDS,CRWDBatl
节日,CELEBRATION,CROWDS,CRWDCele
生日,CELEBRATION,CROWDS,CRWDCele
体育场,CHEERING,CROWDS,CRWDCheer
观众,CHEERING,CROWDS,CRWDCheer
声浪,CHEERING,CROWDS,CRWDCheer
颂歌,CHEERING,CROWDS,CRWDCheer
课间休息,CHILDREN,CROWDS,CRWDChld
孩子们玩耍,CHILDREN,CROWDS,CRWDChld
玩游戏,CHILDREN,CROWDS,CRWDChld
捉人游戏,CHILDREN,CROWDS,CRWDChld
聊天,CONVERSATION,CROWDS,CRWDConv
稀疏的瓦拉,CONVERSATION,CROWDS,CRWDConv
电视节目,LAUGHTER,CROWDS,CRWDLaff
喜剧俱乐部,LAUGHTER,CROWDS,CRWDLaff
循环组,LOOP GROUP,CROWDS,CRWDLoop
ADR,LOOP GROUP,CROWDS,CRWDLoop
预录音效,LOOP GROUP,CROWDS,CRWDLoop
各种各样的,MISC,CROWDS,CRWDMisc
喃喃自语,QUIET,CROWDS,CRWDQuiet
嘘寒问暖,QUIET,CROWDS,CRWDQuiet
喃喃自语,QUIET,CROWDS,CRWDQuiet
圣歌,SINGING,CROWDS,CRWDSing
颂歌,SINGING,CROWDS,CRWDSing
体育场,SPORT,CROWDS,CRWDSprt
观众,SPORT,CROWDS,CRWDSprt
奥运会,SPORT,CROWDS,CRWDSprt
呜呼声,SPORT,CROWDS,CRWDSprt
叽里呱啦,WALLA,CROWDS,CRWDWalla
低音潜水,BASS DIVE,DESIGNED,DSGNBass
下滑,BASS DIVE,DESIGNED,DSGNBass
低音下降,BASS DIVE,DESIGNED,DSGNBass
低音爆炸,BOOM,DESIGNED,DSGNBoom
铜管乐,BRAAM,DESIGNED,DSGNBram
氛围音,DRONE,DESIGNED,DSGNDron
不吉利,DRONE,DESIGNED,DSGNDron
难以忘怀,EERIE,DESIGNED,DSGNErie
空灵,ETHEREAL,DESIGNED,DSGNEthr
天上,ETHEREAL,DESIGNED,DSGNEthr
各种各样的,MISC,DESIGNED,DSGNMisc
立管,RISER,DESIGNED,DSGNRise
次谐波,RUMBLE,DESIGNED,DSGNRmbl
节奏律动,RHYTHMIC,DESIGNED,DSGNRythm
来源,SOURCE,DESIGNED,DSGNSrce
原始素材,SOURCE,DESIGNED,DSGNSrce
原始录音,SOURCE,DESIGNED,DSGNSrce
刺痛,STINGER,DESIGNED,DSGNStngr
预告片,STINGER,DESIGNED,DSGNStngr
戏剧化,STINGER,DESIGNED,DSGNStngr
模块化合成器,SYNTHETIC,DESIGNED,DSGNSynth
颗粒状,SYNTHETIC,DESIGNED,DSGNSynth
模拟合成器,SYNTHETIC,DESIGNED,DSGNSynth
模块化合成器,SYNTHETIC,DESIGNED,DSGNSynth
耳鸣,TONAL,DESIGNED,DSGNTonl
主观视角,TONAL,DESIGNED,DSGNTonl
经过处理的,VOCAL,DESIGNED,DSGNVocl
預告片中的嗖嗖,WHOOSH,DESIGNED,DSGNWhsh
跌倒,COLLAPSE,DESTRUCTION,DESTRClpse
各种各样的,MISC,DESTRUCTION,DESTRMisc
沉积物,DUST,DIRT & SAND,DIRTDust
各种各样的,MISC,DIRT & SAND,DIRTMisc
鸣沙,TONAL,DIRT & SAND,DIRTTonl
大教堂,ANTIQUE,DOORS,DOORAntq
厨柜,CABINET,DOORS,DOORCab
工具柜,CABINET,DOORS,DOORCab
地牢,CREAK,DOORS,DOORCreak
门吱吱声,CREAK,DOORS,DOORCreak
地牢,DUNGEON,DOORS,DOORDungn
巨物,DUNGEON,DOORS,DOORDungn
电动门,ELECTRIC,DOORS,DOORElec
车库门,ELECTRIC,DOORS,DOORElec
摄影棚门,ELECTRIC,DOORS,DOORElec
花园门,GATE,DOORS,DOORGate
栅栏门,GATE,DOORS,DOORGate
公园门,GATE,DOORS,DOORGate
铁路道口,GATE,DOORS,DOORGate
牛圈门,GATE,DOORS,DOORGate
农场门,GATE,DOORS,DOORGate
商店门,GLASS,DOORS,DOORGlas
海涯门,GLASS,DOORS,DOORGlas
法式门,GLASS,DOORS,DOORGlas
链锁,HARDWARE,DOORS,DOORHdwr
五金制品,HARDWARE,DOORS,DOORHdwr
撬锁,HARDWARE,DOORS,DOORHdwr
实验室门,HITECH,DOORS,DOORTech
闭门器,HYDRAULIC & PNEUMATIC,DOORS,DOORHydr
电动舱口,HYDRAULIC & PNEUMATIC,DOORS,DOORHydr
气阀门,HYDRAULIC & PNEUMATIC,DOORS,DOORHydr
卷轴门,METAL,DOORS,DOORMetl
保险库,METAL,DOORS,DOORMetl
各种各样的,MISC,DOORS,DOORMisc
厕所,PLASTIC,DOORS,DOORPlas
便器,PLASTIC,DOORS,DOORPlas
监狱门,PRISON,DOORS,DOORPrisn
栅栏门,PRISON,DOORS,DOORPrisn
玻璃推拉门,SLIDING,DOORS,DOORSlid
庭院门,SLIDING,DOORS,DOORSlid
淋浴门,SLIDING,DOORS,DOORSlid
地穴,STONE,DOORS,DOORSton
陵墓,STONE,DOORS,DOORSton
秘密入口,STONE,DOORS,DOORSton
沙龙门,SWINGING,DOORS,DOORSwng
走廊门,SWINGING,DOORS,DOORSwng
餐厅门,SWINGING,DOORS,DOORSwng
教堂讲坛门,SWINGING,DOORS,DOORSwng
抽屉架,METAL,DRAWERS,DRWRMetl
文件柜,METAL,DRAWERS,DRWRMetl
安全抽屉,METAL,DRAWERS,DRWRMetl
各种各样的,MISC,DRAWERS,DRWRMisc
零件箱,PLASTIC,DRAWERS,DRWRPlas
桌面整理器,PLASTIC,DRAWERS,DRWRPlas
厨房抽屉,WOOD,DRAWERS,DRWRWood
浴室抽屉,WOOD,DRAWERS,DRWRWood
磁暴线圈,ARC,ELECTRICITY,ELECArc
方舟,ARC,ELECTRICITY,ELECArc
触电,ARC,ELECTRICITY,ELECArc
地面嗡嗡声,BUZZ & HUM,ELECTRICITY,ELECBuzz
放大器嗡嗡声,BUZZ & HUM,ELECTRICITY,ELECBuzz
扬声器嗡嗡声,BUZZ & HUM,ELECTRICITY,ELECBuzz
感应嗡嗡声,BUZZ & HUM,ELECTRICITY,ELECBuzz
电抗器,ELECTROMAGNETIC,ELECTRICITY,ELECEmf
传染器,ELECTROMAGNETIC,ELECTRICITY,ELECEmf
感应器,ELECTROMAGNETIC,ELECTRICITY,ELECEmf
各种各样的,MISC,ELECTRICITY,ELECMisc
溅射,SPARKS,ELECTRICITY,ELECSprk
泰瑟枪,ZAP,ELECTRICITY,ELECZap
电击枪,ZAP,ELECTRICITY,ELECZap
触电,ZAP,ELECTRICITY,ELECZap
缰绳,BRIDLE & TACK,EQUIPMENT,EQUIPBridle
马具,BRIDLE & TACK,EQUIPMENT,EQUIPBridle
马鞍带,BRIDLE & TACK,EQUIPMENT,EQUIPBridle
宇航服,HITECH,EQUIPMENT,EQUIPTech
科技服装,HITECH,EQUIPMENT,EQUIPTech
各种各样的,MISC,EQUIPMENT,EQUIPMisc
登山,RECREATIONAL,EQUIPMENT,EQUIPRec
护肩,SPORT,EQUIPMENT,EQUIPSprt
护膝,SPORT,EQUIPMENT,EQUIPSprt
护腿带,SPORT,EQUIPMENT,EQUIPSprt
军警带,TACTICAL,EQUIPMENT,EQUIPTact
执勤腰带,TACTICAL,EQUIPMENT,EQUIPTact
弹药腰带,TACTICAL,EQUIPMENT,EQUIPTact
子弹带,TACTICAL,EQUIPMENT,EQUIPTact
爆炸实录,REAL,EXPLOSIONS,EXPLReal
呸声,DESIGNED,FARTS,FARTDsgn
软坐垫,DESIGNED,FARTS,FARTDsgn
腋窝,DESIGNED,FARTS,FARTDsgn
放屁袋,DESIGNED,FARTS,FARTDsgn
动物屁,MISC,FARTS,FARTMisc
动物放屁,MISC,FARTS,FARTMisc
人类放屁,REAL,FARTS,FARTReal
胀气,REAL,FARTS,FARTReal
扑哧,REAL,FARTS,FARTReal
嘟嘟,REAL,FARTS,FARTReal
人类屁,REAL,FARTS,FARTReal
跌倒,BODYFALL,FIGHT,FGHTBf
拉扯,BODYFALL,FIGHT,FGHTBf
身体猛击,BODYFALL,FIGHT,FGHTBf
擒,BODYFALL,FIGHT,FGHTBf
衣服摩擦,CLOTH,FIGHT,FGHTClth
撞击衣物,CLOTH,FIGHT,FGHTClth
抖衣料,CLOTH,FIGHT,FGHTClth
身体打击,IMPACT,FIGHT,FGHTImpt
斗殴,IMPACT,FIGHT,FGHTImpt
刺拳,IMPACT,FIGHT,FGHTImpt
各种各样的,MISC,FIGHT,FGHTMisc
灌丛火,BURNING,FIRE,FIREBurn
建筑火灾,BURNING,FIRE,FIREBurn
烈火,BURNING,FIRE,FIREBurn
回燃,BURST,FIRE,FIREBrst
龙火,BURST,FIRE,FIREBrst
巨大爆炸声,CRACKLE,FIRE,FIRECrkl
燃气烤架,GAS,FIRE,FIREGas
燃烧炉,GAS,FIRE,FIREGas
野营炉,GAS,FIRE,FIREGas
厨房炉灶,GAS,FIRE,FIREGas
火葬场,GAS,FIRE,FIREGas
燃气灶,GAS,FIRE,FIREGas
芝宝牌打火机,IGNITE,FIRE,FIREIgn
复燃,IGNITE,FIRE,FIREIgn
各种各样的,MISC,FIRE,FIREMisc
保险丝,SIZZLE,FIRE,FIRESizz
保险丝燃烧,SIZZLE,FIRE,FIRESizz
燃烧棍,TORCH,FIRE,FIRETrch
篝火灯,TORCH,FIRE,FIRETrch
火焰漩涡,TURBULENT,FIRE,FIRETurb
猛烈的火焰,TURBULENT,FIRE,FIRETurb
火焰龙卷风,TURBULENT,FIRE,FIRETurb
回流,TURBULENT,FIRE,FIRETurb
旺火,WHOOSH,FIRE,FIREWhsh
复燃,WHOOSH,FIRE,FIREWhsh
烟火,COMMERCIAL,FIREWORKS,FRWKComr
烟花汇演,COMMERCIAL,FIREWORKS,FRWKComr
各种各样的,MISC,FIREWORKS,FRWKMisc
m80,RECREATIONAL,FIREWORKS,FRWKRec
烟火,RECREATIONAL,FIREWORKS,FRWKRec
瓶火箭,RECREATIONAL,FIREWORKS,FRWKRec
幻影烟花,RECREATIONAL,FIREWORKS,FRWKRec
罗马蜡烛,RECREATIONAL,FIREWORKS,FRWKRec
波普尔,RECREATIONAL,FIREWORKS,FRWKRec
樱桃炸弹,RECREATIONAL,FIREWORKS,FRWKRec
沙沙声,CLOTH,FOLEY,FOLYClth
表地面,FEET,FOLEY,FOLYFeet
各种各样的,MISC,FOLEY,FOLYMisc
切碎,COOKING,FOOD & DRINK,FOODCook
切丁,COOKING,FOOD & DRINK,FOODCook
调和,COOKING,FOOD & DRINK,FOODCook
煮,COOKING,FOOD & DRINK,FOODCook
烤,COOKING,FOOD & DRINK,FOODCook
炖,COOKING,FOOD & DRINK,FOODCook
啜饮,DRINKING,FOOD & DRINK,FOODDrnk
小口喝,DRINKING,FOOD & DRINK,FOODDrnk
啧水,DRINKING,FOOD & DRINK,FOODDrnk
喝饮料,DRINKING,FOOD & DRINK,FOODDrnk
痛饮,DRINKING,FOOD & DRINK,FOODDrnk
大口喝,DRINKING,FOOD & DRINK,FOODDrnk
吃,EATING,FOOD & DRINK,FOODEat
吞下,EATING,FOOD & DRINK,FOODEat
用力咀嚼,EATING,FOOD & DRINK,FOODEat
摄取,EATING,FOOD & DRINK,FOODEat
消耗,EATING,FOOD & DRINK,FOODEat
盛宴,EATING,FOOD & DRINK,FOODEat
玻璃水瓶,GLASSWARE,FOOD & DRINK,FOODGware
坚果,INGREDIENTS,FOOD & DRINK,FOODIngr
种子,INGREDIENTS,FOOD & DRINK,FOODIngr
水果,INGREDIENTS,FOOD & DRINK,FOODIngr
罐头食品,INGREDIENTS,FOOD & DRINK,FOODIngr
肉类,INGREDIENTS,FOOD & DRINK,FOODIngr
燕麦,INGREDIENTS,FOOD & DRINK,FOODIngr
炖锅,KITCHENWARE,FOOD & DRINK,FOODKware
汤锅,KITCHENWARE,FOOD & DRINK,FOODKware
各种各样的,MISC,FOOD & DRINK,FOODMisc
银器,TABLEWARE,FOOD & DRINK,FOODTware
筷,TABLEWARE,FOOD & DRINK,FOODTware
恐龙,CREATURE,FOOTSTEPS,FEETCrea
神话,CREATURE,FOOTSTEPS,FEETCrea
慢跑,HORSE,FOOTSTEPS,FEETHors
慢跑,HUMAN,FOOTSTEPS,FEETHmn
蹒跚,HUMAN,FOOTSTEPS,FEETHmn
爬,HUMAN,FOOTSTEPS,FEETHmn
各种各样的,MISC,FOOTSTEPS,FEETMisc
弹球,ARCADE,GAMES,GAMEArcd
打地鼠,ARCADE,GAMES,GAMEArcd
斯基球街机游戏,ARCADE,GAMES,GAMEArcd
爪机,ARCADE,GAMES,GAMEArcd
跳棋,BOARD,GAMES,GAMEBoard
围棋,BOARD,GAMES,GAMEBoard
西洋双陆棋,BOARD,GAMES,GAMEBoard
轮盘赌,CASINO,GAMES,GAMECas
钱轮,CASINO,GAMES,GAMECas
扑克机,CASINO,GAMES,GAMECas
jenga,MISC,GAMES,GAMEMisc
knucklebone,MISC,GAMES,GAMEMisc
atari,VIDEO,GAMES,GAMEVideo
ps4,VIDEO,GAMES,GAMEVideo
xbox 1,VIDEO,GAMES,GAMEVideo
xbox 360,VIDEO,GAMES,GAMEVideo
amstrad,VIDEO,GAMES,GAMEVideo
famicom,VIDEO,GAMES,GAMEVideo
snes,VIDEO,GAMES,GAMEVideo
gameboy,VIDEO,GAMES,GAMEVideo
任天堂64,VIDEO,GAMES,GAMEVideo
playstation,VIDEO,GAMES,GAMEVideo
世嘉游戏机,VIDEO,GAMES,GAMEVideo
psp,VIDEO,GAMES,GAMEVideo
蒸汽喷口,FUMAROLE,GEOTHERMAL,GEOFuma
喷气孔,FUMAROLE,GEOTHERMAL,GEOFuma
煮,GEYSER,GEOTHERMAL,GEOGeyser
粘稠,LAVA,GEOTHERMAL,GEOLava
火山,LAVA,GEOTHERMAL,GEOLava
泥罐,MUD POTS,GEOTHERMAL,GEOMudpot
油漆罐,MUD POTS,GEOTHERMAL,GEOMudpot
焦油坑,MUD POTS,GEOTHERMAL,GEOMudpot
糊状,MUD POTS,GEOTHERMAL,GEOMudpot
玻璃破碎,BREAK,GLASS,GLASBrk
残骸,CRASH & DEBRIS,GLASS,GLASCrsh
挤碎,FRICTION,GLASS,GLASFric
嘎吱声,FRICTION,GLASS,GLASFric
抓握,HANDLE,GLASS,GLASHndl
各种各样的,MISC,GLASS,GLASMisc
嘎嘎声,MOVEMENT,GLASS,GLASMvmt
滚动声,MOVEMENT,GLASS,GLASMvmt
砰砰声,MOVEMENT,GLASS,GLASMvmt
咔嗒声,MOVEMENT,GLASS,GLASMvmt
玻璃口琴,TONAL,GLASS,GLASTonl
水晶碗,TONAL,GLASS,GLASTonl
涌,BLOOD,GORE,GOREBlood
骨头粉碎,BONE,GORE,GOREBone
下巴咬合,BONE,GORE,GOREBone
下巴,BONE,GORE,GOREBone
颌骨,BONE,GORE,GOREBone
各种各样的,MISC,GORE,GOREMisc
粘液,OOZE,GORE,GOREOoze
胶原蛋白/水解胶原蛋白,OOZE,GORE,GOREOoze
粘液,SOURCE,GORE,GORESrce
粘液,SOURCE,GORE,GORESrce
黏糊,SOURCE,GORE,GORESrce
肠子,SOURCE,GORE,GORESrce
粘液,SOURCE,GORE,GORESrce
啪嗒,SOURCE,GORE,GORESrce
穿刺,SOURCE,GORE,GORESrce
粘液,SPLAT,GORE,GORESplt
渗血,SPLAT,GORE,GORESplt
肠子,SPLAT,GORE,GORESplt
粘液,SQUISH,GORE,GORESqsh
枪口装填器,ANTIQUE,GUNS,GUNAntq
燧发枪,ANTIQUE,GUNS,GUNAntq
长步枪,ANTIQUE,GUNS,GUNAntq
火枪,ANTIQUE,GUNS,GUNAntq
榴弹炮,ARTILLERY,GUNS,GUNArtl
导弹发射器,ARTILLERY,GUNS,GUNArtl
ak-47,AUTOMATIC,GUNS,GUNAuto
m16,AUTOMATIC,GUNS,GUNAuto
汤米枪,AUTOMATIC,GUNS,GUNAuto
uzi,AUTOMATIC,GUNS,GUNAuto
m249,AUTOMATIC,GUNS,GUNAuto
M1919,AUTOMATIC,GUNS,GUNAuto
手炮,CANNON,GUNS,GUNCano
枪套,HANDLE,GUNS,GUNHndl
抢枪,HANDLE,GUNS,GUNHndl
擦枪,HANDLE,GUNS,GUNHndl
枪掉落,HANDLE,GUNS,GUNHndl
装弹,HANDLE,GUNS,GUNHndl
间谍枪,HITECH,GUNS,GUNTech
击发,MECHANISM,GUNS,GUNMech
信号枪,MISC,GUNS,GUNMisc
彩弹枪,MISC,GUNS,GUNMisc
9 毫米手枪,PISTOL,GUNS,GUNPis
格洛克手枪,PISTOL,GUNS,GUNPis
柯尔特左轮手枪,PISTOL,GUNS,GUNPis
布朗宁自动步枪,PISTOL,GUNS,GUNPis
贝雷塔手枪,PISTOL,GUNS,GUNPis
毛瑟枪,RIFLE,GUNS,GUNRif
阿里萨卡步枪,RIFLE,GUNS,GUNRif
狙击手,RIFLE,GUNS,GUNRif
狩猎,RIFLE,GUNS,GUNRif
双枪管,SHOTGUN,GUNS,GUNShotg
马车枪,SHOTGUN,GUNS,GUNShotg
雾喇叭,AIR POWERED,HORNS,HORNAir
气喇叭,AIR POWERED,HORNS,HORNAir
工厂喇叭,AIR POWERED,HORNS,HORNAir
派对号角,CELEBRATION,HORNS,HORNCele
单音喇叭,CELEBRATION,HORNS,HORNCele
打猎叫,MISC,HORNS,HORNMisc
麋鹿叫,MISC,HORNS,HORNMisc
鸭叫,MISC,HORNS,HORNMisc
狐狸号角,MISC,HORNS,HORNMisc
羊角号,TRADITIONAL,HORNS,HORNTrad
海螺壳,TRADITIONAL,HORNS,HORNTrad
战斗号角,TRADITIONAL,HORNS,HORNTrad
高山号,TRADITIONAL,HORNS,HORNTrad
高山号角,TRADITIONAL,HORNS,HORNTrad
阿尔卑斯号角,TRADITIONAL,HORNS,HORNTrad
喘鸣声,BREATH,HUMAN,HMNBrth
咳喘,BREATH,HUMAN,HMNBrth
嗳气,BURP,HUMAN,HMNBurp
心悸,HEARTBEAT,HUMAN,HMNHart
手脚麻木,HEARTBEAT,HUMAN,HMNHart
轻吻,KISS,HUMAN,HMNKiss
各种各样的,MISC,HUMAN,HMNMisc
尿尿,PEE,HUMAN,HMNPee
小便,PEE,HUMAN,HMNPee
尿,PEE,HUMAN,HMNPee
撒尿,PEE,HUMAN,HMNPee
痒,SKIN,HUMAN,HMNSkin
手抓,SKIN,HUMAN,HMNSkin
挠背,SKIN,HUMAN,HMNSkin
打喷嚏,SNEEZE,HUMAN,HMNSneez
阿嚏,SNEEZE,HUMAN,HMNSneez
闻,SNIFF,HUMAN,HMNSniff
吸鼻子,SNIFF,HUMAN,HMNSniff
打呼噜,SNORE,HUMAN,HMNSnor
zzz,SNORE,HUMAN,HMNSnor
呼吸急促,SNORE,HUMAN,HMNSnor
窒息,SNORE,HUMAN,HMNSnor
吐痰,SPIT,HUMAN,HMNSpit
吐出,SPIT,HUMAN,HMNSpit
痰盂,SPIT,HUMAN,HMNSpit
流口水,SPIT,HUMAN,HMNSpit
吐出,VOMIT,HUMAN,HMNVomit
呕吐物,VOMIT,HUMAN,HMNVomit
反胃,VOMIT,HUMAN,HMNVomit
恶心,VOMIT,HUMAN,HMNVomit
干呕,VOMIT,HUMAN,HMNVomit
晕车,VOMIT,HUMAN,HMNVomit
摔碎,CRASH & DEBRIS,ICE,ICECrsh
嘎吱声,FRICTION,ICE,ICEFric
尖锐声,FRICTION,ICE,ICEFric
捡起,HANDLE,ICE,ICEHndl
叮当声,IMPACT,ICE,ICEImpt
各种各样的,MISC,ICE,ICEMisc
伽马,BEAM,LASERS,LASRBeam
等离子武器,GUN,LASERS,LASRGun
各种各样的,MISC,LASERS,LASRMisc
嘎吱声,CREAK,LEATHER,LETHRCreak
捡起,HANDLE,LEATHER,LETHRHndl
砰的一声,IMPACT,LEATHER,LETHRImpt
撞击声,IMPACT,LEATHER,LETHRImpt
各种各样的,MISC,LEATHER,LETHRMisc
沙沙声,MOVEMENT,LEATHER,LETHRMvmt
砰的一声,BUBBLES,LIQUID & MUD,LIQBubl
各种各样的,MISC,LIQUID & MUD,LIQMisc
软泥,MOVEMENT,LIQUID & MUD,LIQMvmt
粘液,MOVEMENT,LIQUID & MUD,LIQMvmt
粘性物,MOVEMENT,LIQUID & MUD,LIQMvmt
啜食,SUCTION,LIQUID & MUD,LIQSuct
咕噜声,SUCTION,LIQUID & MUD,LIQSuct
活塞,SUCTION,LIQUID & MUD,LIQSuct
皮搋,SUCTION,LIQUID & MUD,LIQSuct
爬梯,AMUSEMENT,MACHINES,MACHAmus
旋转椅,AMUSEMENT,MACHINES,MACHAmus
儿童骑行,AMUSEMENT,MACHINES,MACHAmus
主题公园小火车,AMUSEMENT,MACHINES,MACHAmus
弹球,AMUSEMENT,MACHINES,MACHAmus
滚球,AMUSEMENT,MACHINES,MACHAmus
橄榄压榨机,ANTIQUE,MACHINES,MACHAntq
黄油搅拌机,ANTIQUE,MACHINES,MACHAntq
搅拌机,APPLIANCE,MACHINES,MACHAppl
食物料理机,APPLIANCE,MACHINES,MACHAppl
电动开罐器,APPLIANCE,MACHINES,MACHAppl
垃圾处理机,APPLIANCE,MACHINES,MACHAppl
除湿机,APPLIANCE,MACHINES,MACHAppl
