Keyword,Keyword(Trans),Description(Trans),Category,SubCategory
Colossal,巨大的/庞大的,极其巨大。,MODIFIER,Size
Piece,一块/一片,通常指从整体分离的小块。,MODIFIER,Form
Fragment,碎片,比Piece更小或更不规则的碎块。,MODIFIER,Form
Sheet,薄片/一张,如金属板、纸张，通常面积较大但薄。,MODIFIER,Form
Plate,板/片,通常比Sheet厚，形状扁平。,MODIFIER,Form
Bar,条/杆,长条状物体。,MODIFIER,Form
Block,块,较厚实、有一定体积的块状物。,MODIFIER,Form
Chunk,大块,不规则的大块。,MODIFIER,Form
Grain / Particle,颗粒,非常小的固体颗粒。,MODIFIER,Form
Drop,一滴,用于液体，表示极小量。,MODIFIER,Form
