Category,SubCategory,CatID,CatShort,Explanations,Synonyms - Comma Separated,Category_zh,SubCategory_zh,Synonyms_zh,,
BIRDS,CROW,BIRDCrow,BIRD,"Birds in Corvid family, which includes crows and ravens.","Beak, Blue, BluJay, Cawed, Cawing, Caws, Chough, Choughs, Corvid, Corvine, Crow, Crowe, Grackle, Jackdaw, Jay, Jays, Magpie, Nutcracker, Raven, Ravens, Rook, Rooks, Squawking, Treecreeper, Treepies",鸟类,乌鸦,乌鸦、喜鹊,,
BIRDS,FOWL,BIRDFowl,BIRD,"Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","Barnyard, Capon, Chachalacas, Chicken, Chitterling, Chukar, Cockerel, Curassow, Duck, Duckling, Ducks, Eider, Emu, Fowl, Fowle, Gamebirds, Geese, Giblet, Goose, Grebe, Grouse, Guans, Guineafowl, Hen, Hens, Mallard, Muscovy, Ostrich, Partridge, Partridges, Peafowl, Pheasant, Pheasants, Plumage, Poulterer, Poussin, Ptarmigan, Quail, Quails, Rooster, Squab, Swan, Teal, Turkey, Turkeys, Turkies, Waterfowl, Woodcocks",鸟类,家禽,鸡、雉鸡、火鸡、鹅、松鸡、鸭、天鹅、鹧鸪、野鸭、绒鸭、鹌鹑、雷鸟,,
BIRDS,MISC,BIRDMisc,BIRD,Bird sounds not fitting another category in this list.,"Ani, Cassowary, Cuckoo, Emu, Hummingbird, Kiwi, Nighthawk, Nightjar, Ostrich, Poorwill, Roadrunner, Woodpecker",鸟类,其它,杜鹃、 啄木鸟、 夜鹰、 蜂鸟,,
BIRDS,SEA,BIRDSea,BIRD,"Birds that live mostly near the ocean. Seagulls, pelicans.","Albatross, Auk, Auklet, Black-Legged, Booby, Bowerbird, Brown, Cormorant, Dunlin, Frigatebird, Fulmar, Gannet, Guillemot, Gull, Kittiwake, Migratory, Murrelet, Noddy, Oystercatcher, Pelican, Penguin, Petrel, Plover, Puffin, Razorbill, Sandpiper, Sandplover, Seabird, Seaduck, Seafowl, Seagull, Seahawk, Shearwater, Sheerwater, Shorebird, Skua, Skuas, Tern, Waterfowl, Widowbird, Yellow",鸟类,海鸟,海鸥、 塘鹅、 信天翁、 鸬鹚、 鹈鹕、 企鹅、 海燕、 燕鸥、 军舰鸟、 鲣鸟、 鸻、 鹬、 海雀,,
BIRDS,SONGBIRD,BIRDSong,BIRD,"Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","Antechinus, Bellbird, Bellbirds, Birdcall, Birdy, Blackbird, Bluebird, Bobwhite, Bowerbird, Bowerbirds, Budgerigar, Bullfinch, Bunting, Canary, Cardinal, Chaffinch, Chat, Chickadee, Chirrups, Cisticola, Cockatiel, Creeper, Dipper, Dove, Finch, Flycatcher, Gnatcatcher, Greenfinch, Grosbeak, Hawfinch, Honeyeater, Kinglet, Lark, Lovebird, Meadowlark, Mockingbird, Nightingale, Nuthatch, Oriole, Oscine, Ovenbird, Parula, Penduline, Pigeon, Robin, Serin, Skylark, Songful, Songster, Songstress, Sparrow, Starling, Swallow, Tanager, Thrasher, Thrush, Tit, Titmouse, Towhee, Treecreeper, Troupial, Vireo, Warble, Warbler, Warblers, Warbles, Waxwing, Whitethroat, Woodlark, Wren",鸟类,鸣鸟,鸽子、 知更鸟、 麻雀、 燕子、 唐纳雀、 画眉、  莺、 鹪鹩、 山雀、 云雀、 八哥、 黑鸟、鸫鸟、黑鸟,,
BIRDS,TROPICAL,BIRDTrop,BIRD,"Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","Antbird, Aracari, Barbet, Bellbird, Bulbul, Cockatoo, Coquette, Eye, Firebird, Honeycreeper, Hornbill, Ibis, Jacamar, Kookaburra, Lorikeet, Lyrebird, Macaw, Manakin, Mango, Motmot, Mynah, Mynas, Parakeet, Parrot, Parroting, Parrots, Peacock, Potoo, Puffbird, Quetzal, Runner, Shoebill, Skimmer, Sunbird, Tanager, Toucan, Trogon, Tropicbird",鸟类,热带,鹦鹉、 巨嘴鸟、 笑翠鸟、 琴鸟、 孔雀、 金刚鹦鹉、 犀鸟、 长尾小鹦鹉、 琵鹭、 火烈鸟,,
BIRDS,WADING,BIRDWade,BIRD,"Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","Avocet, Bittern, Blue, Bower, Coot, Crane, Curlew, Dowitcher, Egret, Flamingo, Godwit, Heron, Ibis, Little, Oystercatcher, Plover, Rail, Redshank, Ruff, Sanderling, Sandpiper, Shorebird, Snipe, Sora, Spoonbill, Stork, Wader, Waterbird, Waterfowl, Whimbrel, Wildfowl, Yellowlegs",鸟类,水鸟,白鹭、火烈鸟、琵鹭、鹳、苍鹭、鹬,,
BOATS,AIR BOAT,BOATAir,BOAT,Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.,"Air, Amphibious, Boat, Fan, Hovercraft, Swamp",船舶,汽艇,风扇船、气垫船、气垫船、香蕉船、快艇,,
BOATS,BOW WASH,BOATWash,BOAT,"The waves pushed up by a boat or ship going through the water, a relatively clean recording.","Bow, Propeller, Ripple, Wake, Wave",船舶,船浪,波浪、 船浪、 船波,,
BOATS,DOOR,BOATDoor,BOAT,Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.,"Access, Boat, Bulkhead, Cabin, Door, Ferry, Gangway, Gate, Hatch, Ship, Trapdoor, Watertight",船舶,门,舱门、液压门,,
BOATS,ELECTRIC,BOATElec,BOAT,"Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","DC, Electrical, Motor, Powered, Trolling",船舶,电动船,拖钓马达、电动马达,,
BOATS,FISHING,BOATFish,BOAT,"Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","Angling, Bass, Boat, Crab, Dredger, Fisher, Fisheries, Fisherman, Fishermen, Fishery, Fleet, Gillnetter, Jon, Line, Research, Seiner, Sportfishing, Trawl, Trawler, Trawlers, Vessel, Vessels",船舶,捕鱼,捕蟹船、拖网渔船、围网船、线船、挖泥船、刺网船、研究船,,
BOATS,HORN,BOATHorn,BOAT,Horns on boats and ships. Fog horns would go in HORNS-AIR category.,"Air, Blast, Canal, Departure, Ferry, Horn, Ports, Ship, Tugboat, Warning",船舶,船笛,船喇叭、拖船喇叭、汽笛,,
BOATS,INTERIOR,BOATInt,BOAT,"Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","Aboard, Balcony, Belowdecks, Berth, Bilge, Boat, Bowels, Bunk, Cabin, Cargo, Cockpit, Cruise, Engine, Ferries, Ferry, Freighter, Galley, Head, Helm, Inside, Interior, Military, Navy, Room, Sailboat, Salon, Ship, Stateroom, Stowaway, Submarine, Tanker, Tugboat, Yacht",小船,舱内,船、渡轮、渡轮、游轮、海军、军船、拖船、帆船、游艇、油轮、货船、货轮、潜艇,,
BOATS,MECHANISM,BOATMech,BOAT,"All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","Anchor, Cage, Davit, Grapnel, Jigger, Net, Propeller, Pulley, Rigging, Rope, Rudder, Ship, Throttle, Trap, Wheel, Winch, Windlass",船舶,机械,索具、滑轮、绳索、船轮、油门、网、笼、陷阱、锚,,
BOATS,MILITARY,BOATMil,BOAT,"Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","Aircraft, Amphibious, Armada, Attack, Battlecruiser, Battleship, Blockade, Boat, Carrier, Corvette, Craft, Cruiser, Cruisier, Destroyer, Dreadnought, Fast, Fleet, Flotilla, Frigate, Gunboat, Landing, Naval, Patrol, Submarine, Torpedo, Warship",船舶,军用,巡逻艇、 驱逐舰、 巡洋舰、 战列巡洋舰、 护卫舰、 快速攻击船,,
BOATS,MISC,BOATMisc,BOAT,Boat sounds not fitting another category in this list.,"Afloat, Barge, Boatswain, Bosun, Capsize, Capsizing, Paddleboard, Paddleboat",船舶,其它,桨船、桨板,,
BOATS,MOTORBOAT,BOATMotr,BOAT,"General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","Bass, Boat, Bowrider, Cabin, Cruiser, Duck, Fishing, Personal, Pontoon, Powerboat, Runabout, Ski, Small, Speedboat",船舶,摩托艇,小船、个人渔船、快艇、浮筒船、鸭子船、小艇,,
BOATS,RACING,BOATRace,BOAT,"Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","Boat, Cigarette, Drag, Hydrofoil, Hydroplane, Jet, Powerboat, Regatta, Ski",船舶,赛艇,水上飞机、水翼艇、喷射艇,,
BOATS,ROWBOAT,BOATRow,BOAT,"Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","Canoe, Canoes, Cutter, Dinghy, Dory, Gondola, Inflatable, Jon, Kayak, Lifeboat, Longboat, Oar, Outrigger, Paddle, Punt, Raft, Row, Rowboat, Scow, Scull, Skiff, Wherry",船舶,划艇,手摇船、独木舟、划艇、皮划艇、桨、龙舟,,
BOATS,SAILBOAT,BOATSail,BOAT,"Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","Barkentine, Barque, Barquentine, Brig, Brigantine, Catamaran, Centerboard, Clipper, Cutter, Dhow, Dinghy, Junk, Keelboat, Ketch, Longboat, Monohull, Pinnace, Proa, Regatta, Sailboat, Schooner, Shallop, Sloop, Trimaran, Yacht, Yawl",船舶,帆船,帆船、 单桅帆船、 双桅船、风动船,,
BOATS,SHIP,BOATShip,BOAT,"Large ship, passenger cruise ships, oil tankers, things relating to these.","Cargo, Container, Cruise, Ferry, Freighter, Icebreaker, Large, Oil, Passenger, Pirate, Research, Ship, Tanker, Tugboat, Vessel",船舶,大船,大船、 游轮、 油轮、 货船、 货轮,,
BOATS,STEAM,BOATStm,BOAT,"Old steam paddle boats, big steam ship sounds.","Boiler, Engine, Paddlewheel, Riverboat, Ship, Steamboat, Steamer, Steamship, Sternwheeler, Titanic",船舶,蒸汽船,蒸汽明轮船、明轮船、蒸汽机,,
BOATS,SUBMARINE,BOATSub,BOAT,"Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","AUV, Deep-Sea, Nuclear-Powered, Research, ROV, Sonar, Sub, Submarine, Submersible, Subs, Torpedo, Torpedoing, U-Boat",船舶,潜艇,潜艇、声纳、海底、深海,,
BOATS,UNDERWATER,BOATUndwtr,BOAT,"Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","Recorded, Submerged, Undersea",船舶,水下,水下录音、 水下,,
BULLETS,BY,BLLTBy,BLLT,"Bullet pass bys in air, or underwater.","Bullet, Fwip, Graze, Subsonic, Supersonic, Whiz-By, Whizby",子弹,飞过,子弹飞过、 子弹经过、 子弹擦过,,
BULLETS,IMPACT,BLLTImpt,BLLT,"Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","Armor, Ballistic, Body, Bullet, Bulletproof, Gunshot, Headshot, Hit, Impact, Killshot, Penetration, Pierce, Shot, Strike, Struck, Vest, Wounded",子弹,击中,子弹撞击、子弹击中、中弹,,
BULLETS,MISC,BLLTMisc,BLLT,Bullet sounds not fitting another category in this list.,"Air, Ammunitions, Armor, Bandoliers, BB, Birdshot, Blanks, Buckshot, Bullet, Cartridges, Dummy, Frangible, Incendiary, Miscellaneous, Paintball, Pellet, Piercing, Reloads, Rifle, Rounds, Rubber, Slug, Subsonic, Supersonic, Tracer",子弹,其它,各种各样的,,
BULLETS,RICOCHET,BLLTRico,BLLT,"Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","Deflect, Ricochet, Ricos, Whizzing",子弹,弹跳,弹跳、 偏转、 弹出,,
BULLETS,SHELL,BLLTShel,BLLT,Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.,"Ammo, Ammunition, Cartridge, Casing, Eject, Housing, Shell",子弹,弹壳,弹壳、弹出,,
CARTOON,ANIMAL,TOONAnml,TOON,"Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","Animal, Animated, Call, Cartoony, Comic, Duck, Fake, Hanna, Hunting, Silly, Toon",卡通,动物,可爱动物叫、 憨憨动物声,,
CARTOON,BOING,TOONBoing,TOON,"Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","Animated, Cartoony, Comic, Hanna, Harp, Jaw, Mouth, Pogo, Silly, Spring, Stick, Toon",卡通,弹簧音,卡通弹跳声,,
CARTOON,CLANG,TOONClang,TOON,"Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","Animated, Anvil, Bong, Cartoony, Clink, Comic, Hanna, Metallic, Silly, Toon",卡通,咣当,叮当、金属、刀光、刀剑,,
CARTOON,CREAK,TOONCreak,TOON,"Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","Animated, Cartoony, Comic, Hanna, Screech, Silly, Toon, Wood",卡通,嘎吱,橡胶、牛皮筋、硅胶,,
CARTOON,HORN,TOONHorn,TOON,"Cartoon horns, as in bulb horns, clown horns.","Animated, Bugle, Bulb, Cartoony, Clown, Comic, Hanna, Honk, Silly, Toon, Trumpet",卡通,号,灯泡喇叭、 喇叭、 小丑喇叭,,
CARTOON,IMPACT,TOONImpt,TOON,"Cartoon hits, bonk, boink, doink..","Animated, Bang, Biff, Boff, Boink, Bonk, Cartoony, Clobber, Comic, Doink, Hanna, Hit, Punch, Shtoink, Silly, Smack, Strike, Thunk, Toon, Wham, Zonk",卡通,打击,duang,,
CARTOON,MACHINE,TOONMach,TOON,"Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","ACME, Animated, Apparatus, Cartoony, Comic, Comical, Contraption, Device, Gadget, Gizmo, Goldberg, Hanna, Machine, Rube, Silly, Toon, Trap",卡通,机器,卡通机器,,
CARTOON,MISC,TOONMisc,TOON,Cartoon sounds not fitting another category in this list.,"Animated, Blorb, Cartoony, Comic, Flump, Hanna, Silly, Squanch, Toon",卡通,其它,搞笑、蠢、可爱,,
CARTOON,MUSICAL,TOONMx,TOON,Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.,"Animated, Ascend, Cartoony, Comic, Descend, Gliss, Hanna, Melodic, Musical, Silly, Toon",卡通,音乐性,琶音、上升、下降、,,
CARTOON,PLUCK,TOONPluk,TOON,"Cartoon string plucks, violin plucks, dental floss plucks.","Animated, Cartoony, Comic, Hanna, Plink, Pluck, Silly, String, Toon",卡通,弹拨,拨弦,,
CARTOON,POP,TOONPop,TOON,"Cartoon funny pops, mouth pops, suction cup pops.","Animated, Bubble, Bubblegum, Cartoony, Comic, Cup, Gun, Hanna, Mouth, Pop, Pops, Silly, Suction, Toon",卡通,道具,吸盘、泡泡爆破,,
CARTOON,SHAKE,TOONShake,TOON,"Cartoon shake, like a noisemaker toy, maraca.","Animated, Cartoony, Comic, Hanna, Rattle, Silly, Toon, Tremble",卡通,摇晃,嘎嘎声,,
CARTOON,SPLAT,TOONSplt,TOON,"Cartoon splats, funny liquid and mud like splats and things.","Animated, Cartoony, Comic, Hanna, Silly, Splat, Splort, Squelch, Squish, Toon",卡通,啪嗒,卡通液体声,,
CARTOON,SQUEAK,TOONSqk,TOON,Cartoon squeaks. funny little sounding squeaks of things.,"Animated, Cartoony, Comic, Hanna, Rubber, Silly, Squeak, Toon",卡通,摩擦,吱,,
CARTOON,STRETCH,TOONStrch,TOON,"Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","Animated, Cartoony, Comic, Elongate, Extend, Hanna, Lengthen, Pull, Silly, Strain, Toon, Yank",卡通,伸缩,拉紧、拉伸,,
CARTOON,SWISH,TOONSwsh,TOON,"Cartoon swishes, specifically very funny cartoony swishes.","Animated, Cartoony, Comic, Hanna, Silly, Swirl, Swoosh, Toon, Twirl, Whoosh",卡通,嗖嗖,旋转、划过、闪白、过场,,
CARTOON,TWANG,TOONTwang,TOON,"Cartoon twangs, that classic ruler twang type sound.","Animated, Band, Cartoony, Comic, Hanna, Harp, Jaw, Pluck, Rubber, Ruler, Silly, String, Toon, Twanging",卡通,弹拨声,拨尺声、 弹尺声,,
CARTOON,VEHICLE,TOONVeh,TOON,"Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","Animated, Backfire, Cartoony, Comic, Contraption., Flintstones, Hanna, Jetsons, Silly, Toon",卡通,载具,异型车、 特殊载具,,
CARTOON,VOCAL,TOONVox,TOON,"Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","Animated, Cartoony, Comic, Grumble, Hanna, Mumble, Mutter, Ramble, Silly, Toon, Voice",卡通,语音,非人类叫声,,
CARTOON,WARBLE,TOONWarb,TOON,Cartoon warble.,"Animated, Cartoony, Comic, Hanna, Quaver, Silly, Toon, Vibrato, Warbling, Wobble",卡通,颤音,颤音,,
CARTOON,WHISTLE,TOONWhis,TOON,"Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","Animated, Blow, Cartoony, Comic, Hanna, Silly, Slide, Toon, Toot, Whistle, Wolf",卡通,哨子,滑哨、哨音,,
CARTOON,ZIP,TOONZip,TOON,"Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","Animated, Cartoony, Comic, Dart, Flash, Fly, Hanna, Rico, Silly, Toon, Whizz, Zing, Zip, Zippy, Zoom",卡通,拉链,上拉、 下拉,,
CERAMICS,BREAK,CERMBrk,CERM,"Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","Apart, Break, Burst, Ceramic, Ceramics, China, Chip, Clay, Crack, Crockery, Crumble, Crunch, Crush, Demolish, Destroy, Disintegrate, Earthenware, Fracture, Fragment, Porcelain, Pottery, Shatter, Smash, Snap, Splinter, Split, Stoneware, Terracotta, Tile, Ware",陶瓷,打破,打破、裂缝、粉碎、破坏,,
CERAMICS,CRASH & DEBRIS,CERMCrsh,CERM,"Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","Ceramic, Ceramics, China, Clay, Collision, Crockery, Debris, Earthenware, Fall, Fragments, Porcelain, Pottery, Remains, Rubble, Ruins, Scatter, Shards, Smash, Stoneware, Terracotta, Tile, Trash, Ware, Wreckage",陶瓷,碎片,坠落、碎片、碰撞,,
CERAMICS,FRICTION,CERMFric,CERM,"Ceramics friction, scraping, squeaking, screeching.","Abrasion, Attrition, Ceramic, Ceramics, China, Clay, Creak, Crockery, Earthenware, Erosion, Grating, Grinding, Porcelain, Pottery, Rasping, Rubbing, Scouring, Scrape, Scraping, Scratching, Screech, Scuffing, Sliding, Squeak, Stoneware, Stress, Terracotta, Tile, Ware, Wear",陶瓷,挤压,压力、刮擦、吱吱声、吱吱声、尖叫声,,
CERAMICS,HANDLE,CERMHndl,CERM,"Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","Caress, Catch, Ceramic, Ceramics, China, Clasp, Clay, Clench, Clutch, Crockery, Down, Earthenware, Embrace, Fondle, Grab, Grasp, Grip, Handle, Hold, Manipulate, Operate, Palm, Pickup, Porcelain, Pottery, Seize, Set, Stoneware, Take, Terracotta, Tile, Toss, Touch, Use, Ware",陶瓷,抓取,触碰、 拿到、 抓取,,
CERAMICS,IMPACT,CERMImpt,CERM,"Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","Bang, Banging, Bash, Bump, Ceramic, Ceramics, China, Clap, Clay, Clink, Clunk, Collide, Colliding, Collision, Crash, Crashing, Crockery, Drop, Earthenware, Hit, Hitting, Impact, Impacting, Jolt, Knock, Porcelain, Pottery, Pound, Ram, Shock, Slam, Slamming, Smack, Smacking, Stoneware, Strike, Striking, Terracotta, Thrust, Thump, Tile, Ware",陶瓷,打击,掉落、撞击、碰撞,,
CERAMICS,MISC,CERMMisc,CERM,Ceramics sounds not fitting another category in this list.,"Ceramic, Ceramics, China, Clay, Crockery, Earthenware, Miscellaneous, Porcelain, Pottery, Stoneware, Terracotta, Tile, Ware",陶瓷,其它,各种各样的,,
CERAMICS,MOVEMENT,CERMMvmt,CERM,"Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","Ceramic, Ceramics, China, Clatter, Clay, Crockery, Drag, Earthenware, Jiggle, Jingle, Move, Porcelain, Pottery, Rattle, Roll, Shake, Shift, Stoneware, Terracotta, Tile, Vibrate, Ware, Wobble",陶瓷,移动,拖动、滚动、摇晃,,
CERAMICS,TONAL,CERMTonl,CERM,"Ceramics ringing, as in being bowed.","Bowed, Ceramic, Ceramics, China, Clay, Crockery, Earthenware, Frequency, Harmonic, Melodic, Melodious, Musical, Ping, Pitch, Porcelain, Pottery, Resonance, Resonant, Ring, Shing, Sonorous, Sound, Stoneware, Terracotta, Tile, Timbre, Tonal, Tone, Ware",陶瓷,音乐性,纯音、 音色、 谐音,,
CHAINS,BREAK,CHAINBrk,CHAIN,"Chain snapping or breaking, that sharp sound of a chain failing.","Bend, Break, Burst, Crack, Fracture, Links, Rupture, Sever, Shatter, Snap, Splinter, Split",链条,打破,折断、折断、弯曲,,
CHAINS,HANDLE,CHAINHndl,CHAIN,"Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","Catch, Clench, Down, Grab, Grasp, Grip, Handle, Hold, Manipulate, Operate, Palm, Pickup, Pulling, Seize, Set, Take, Throw, Toss, Use",链条,抓取,铁链、自行车链、锁链,,
CHAINS,IMPACT,CHAINImpt,CHAIN,"Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","Bang, Banging, Colliding, Crash, Crashing, Drop, Hit, Hitting, Impact, Impacting, Pound, Ram, Slam, Slamming, Smack, Smacking, Strike, Striking, Thrust",链条,打中,跌落、撞击、撞击、猛击、张力断裂,,
CHAINS,MISC,CHAINMisc,CHAIN,Chain sounds not fitting another category in this list.,"Bonds, Links, Manacles, Miscellaneous, Restraints, Shackles",链条,其它,各种各样的,,
CHAINS,MOVEMENT,CHAINMvmt,CHAIN,"Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","Bind, Bound, Clank, Clatter, Drag, Jingle, Shackle, Shackled, Shake, Vibrate",链条,移动,手铐、锁链,,
CHEMICALS,ACID,CHEMAcid,CHEM,"Chemical acid burning and sizzling, bubbling. A vat of acid.","Acetic, Acidic, Acrid, Biting, Caustic, Citric, Corrosive, Erosive, Fizz, Hydrochloric, Melt, Sizzle, Sour, Sulfuric, Toxic",化学,腐蚀,嘶嘶声、融化、法术、魔法,,
CHEMICALS,MISC,CHEMMisc,CHEM,Chemical sounds not fitting another category in this list.,"Agents, Atoms, Chemical, Chemicals, Compound, Compounds, Formulas, Matter, Miscellaneous, Mixtures, Molecules, Reagent, Solutions, Substance, Substances, Toxic",化学,其它,各种各样的,,
CHEMICALS,REACTION,CHEMReac,CHEM,"Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","Activate, Bubbling, Catalysis, Catalyst, Catalyze, Chemically, Chemistry, Electrolysis, Endothermic, Enzyme, Exothermic, Fermentation, Foaming, Hydrolysis, Inactive, Inert, React, Reaction, Reactive, Reagent, Transformation",化学,反应,冒泡、起泡、反应,,
CLOCKS,CHIME,CLOCKChim,CLOCK,"Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","Bell, Chime, Clock, Dong, Grandfather, Peal, Ring, Sound, Strike, Striker, Toll, Tolling",钟表,风铃,钟声、 树铃,,
CLOCKS,MECHANICS,CLOCKMech,CLOCK,"Clocks winding, complex mechanical clock mechanisms.","Apparatus, Clocklike, Clockwork, Clockworks, Cogwheel, Cuckoo, Device, Escapement, Gears, Innards, Insides, Machinery, Mainspring, Mechanisms, Movements, Pendulum, Springs, Ticktock, Timepiece, Watch, Wheels, Winder, Winding, Workings",钟表,机械,绕组、 时钟齿轮、 布谷鸟钟、轮轴,,
CLOCKS,MISC,CLOCKMisc,CLOCK,Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK,"Chronometers, Miscellaneous, Timekeepers, Timepieces, Timers, Watches",钟表,其它,各种各样的,,
CLOCKS,TICK,CLOCKTick,CLOCK,"Analog ticking clocks and watches of all sizes, also mechanical stop watches.","Chronometer, Click, Clicking, Clock, Egg, Face, Hands, Numerals, Pendulum, Quartz, Sounds, Stop, Stopwatch, Tick, Tick-Tock, Ticking, Time, Timekeeping, Timer, Tock, Tocking, Watch",钟表,嘀嗒,滴答、点击、石英、滴答、秒表、鸡蛋计时器,,
CLOTH,FLAP,CLOTHFlp,CLOTH,"Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","Apparel, Apron, Banner, Bib, Blanket, Burlap, Canvas, Cape, Clothe, Cotton, Dress, Fabric, Fabrics, Flag, Flannel, Flap, Flapping, Flicker, Flutter, Fluttering, Garment, Gown, Jacket, Jeans, Khaki, Lace, Laundry, Linen, Material, Microfiber, Muslin, Nylon, Oilcloth, Oilskin, Pants, Parachute, Pillowcase, Polyester, Rag, Rayon, Robe, Rustle, Rustling, Sail, Sailcloth, Sheet, Shirt, Silk, Skirt, Tablecloth, Terry, Textile, Towel, Whipping, Wool, Woven",布料,抖动,翅膀、襟翼、旗帜、沙沙声、降落伞、斗篷、帆布、帆、床单,,
CLOTH,HANDLE,CLOTHHndl,CLOTH,"Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","Apparel, Apron, Banner, Bib, Blanket, Burlap, Canvas, Catch, Clasp, Clench, Clothe, Clutch, Cotton, Down, Dress, Embrace, Fabric, Fabrics, Flag, Flannel, Garment, Gown, Grab, Grasp, Grip, Handle, Hold, Jacket, Jeans, Khaki, Lace, Laundry, Linen, Material, Microfiber, Muslin, Nylon, Oilcloth, Oilskin, Pants, Pickup, Pillowcase, Polyester, Rag, Rayon, Robe, Seize, Set, Sheet, Shirt, Silk, Skirt, Tablecloth, Terry, Textile, Toss, Towel, Wool, Woven",布料,抓取,拿衣服、 整理衣服,,
CLOTH,IMPACT,CLOTHImpt,CLOTH,"Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","Apparel, Apron, Banner, Bib, Blanket, Bump, Burlap, Canvas, Clothe, Cotton, Dress, Drop, Fabric, Fabrics, Flag, Flannel, Garment, Gown, Hit, Hitting, Impact, Impacting, Jacket, Jeans, Khaki, Lace, Laundry, Linen, Material, Microfiber, Muslin, Nylon, Oilcloth, Oilskin, Pants, Pillowcase, Polyester, Rag, Rayon, Robe, Sheet, Shirt, Silk, Skirt, Smack, Smacking, Strike, Tablecloth, Terry, Textile, Thump, Towel, Wool, Woven",布料,打击,抓衣服、 挠衣服,,
CLOTH,MISC,CLOTHMisc,CLOTH,Cloth sounds not fitting another category in this list.,"Apparel, Apron, Banner, Bib, Blanket, Burlap, Canvas, Chambray, Cloth, Clothe, Corduroy, Cotton, Denim, Dress, Fabric, Fabrics, Flag, Flannel, Garment, Gown, Jacket, Jeans, Khaki, Lace, Laundry, Linen, Material, Microfiber, Miscellaneous, Muslin, Nylon, Oilcloth, Oilskin, Pants, Pillowcase, Polyester, Rag, Rayon, Robe, Sheet, Shirt, Silk, Skirt, Tablecloth, Terry, Textile, Towel, Twill, Velvet, Wool, Woven",布料,其它,各种各样的,,
