raw,canonical,slot,note
中奖,Jackpot,action,
报号,Call Number,action,
低音,Bass,modifier,
闪烁,Flicker,action,
宾果,Bingo,object,
夜店,Nightclub,object,
礼宾,Ceremonial,modifier,
绿幕,Green Screen,object,
抠,Key Out,action,
群众,Crowd,object,
报,Call,action,cedict误reply
迫击,Mortar,modifier,
高射,Flak,modifier,
军靴,Combat Boot,object,
运输机,Transport Plane,object,
吹响,Blow,action,
炮击,Barrage,action,
防空,Air Defense,modifier,
战壕,Trench,object,
刺刀,Bayonet,object,
口令,Command,action,cedict误password
空降,Airborne,modifier,
音爆,Sonic Boom,object,
烟幕,Smokescreen,object,
战场,Battlefield,object,
后送,Evac,action,
军号,Bugle,object,
坦克,Tank,object,
履带,Track,object,
装甲,Armored,modifier,
步兵,Infantry,object,
冲锋,Charge,action,
点射,Burst Fire,action,
步枪,Rifle,object,
上膛,Cock,action,
狙击,Sniper,action,
瞄准,Aim,action,
榴弹,Grenade Launcher,object,
火箭,Rocket,object,
导弹,Missile,object,
升空,Liftoff,action,
开火,Open Fire,action,压bilingual Hole
雷达,Radar,object,
沙袋,Sandbag,object,
堆砌,Stack,action,
铁丝,Barbed Wire,object,
地雷,Landmine,object,
引爆,Detonate,action,
手雷,Grenade,object,
拼刺,Bayonet Charge,action,
呼喊,Shout,action,
旗语,Semaphore,action,
传递,Relay,action,
对讲,Radio,modifier,
直升机,Helicopter,object,
武装,Armed,modifier,
伞降,Parachute Drop,action,
战斗机,Fighter Jet,object,
掠过,Flyby,action,
轰炸,Bombing,action,
投弹,Bomb Drop,action,
无人机,Drone,object,
锁定,Lock On,action,
干扰,Jamming,action,
闪光,Flash,modifier,
催泪,Tear Gas,modifier,
救护,Medevac,action,
号角,Horn,object,
胜利,Victory,modifier,
炮,Cannon,object,压bilingual Pounder
网,Net,object,
推进,Advance,action,
候机,Waiting,modifier,
免税店,Duty Free,object,
反推,Thrust Reverse,action,
夜床,Turndown,modifier,
大屏,Display,object,
扬尘,Dust,modifier,
探照,Searchlight,modifier,
晒谷,Grain Dry,modifier,
杀猪,Slaughter,action,
棋牌,Mahjong,object,
楼体,Building,object,
泵车,Concrete Pump,object,
清运,Haul Away,action,
盲降,ILS,modifier,
磨面,Flour Mill,modifier,
设卡,Checkpoint,action,
贴砖,Tile,action,
起吊,Hoist,action,
铺地板,Floor Install,action,
门窗,Door Window,object,
交房,Handover,action,
勘查,Investigate,action,
行李,Luggage,object,
紧急,Emergency,modifier,
记录,Record,action,
鉴定,Examine,action,
检查,Inspect,action,
作坊,Workshop,object,
护照,Passport,object,
查验,Inspect,action,
海关,Customs,object,
申报,Declare,action,
摆渡,Shuttle,modifier,
提取,Retrieve,action,
贵宾,VIP,modifier,
救生,Life Saving,modifier,
前台,Front Desk,object,cedict误stage
打扫,Clean,action,
整理,Tidy,action,
送餐,Room Service,action,
早餐,Breakfast,object,
自助餐,Buffet,object,
器械,Equipment,object,cedict误weapon
桑拿,Sauna,object,
投影,Project,action,
商务,Business,modifier,
发票,Receipt,object,
员,Staff,detail,
接待,Reception,action,
洗衣,Laundry,action,
投诉,Complaint,action,
特警,SWAT,object,
刑警,Detective,object,
封锁,Cordon,action,
取证,Evidence,action,
脚印,Footprint,object,
血迹,Bloodstain,object,
采样,Sample,action,
弹道,Ballistics,object,
分析,Analysis,action,
法医,Coroner,object,
签字,Sign,action,
嫌疑人,Suspect,object,
脚镣,Leg Irons,object,
驱散,Disperse,action,
盘查,Stop Check,action,
证件,ID Card,object,
登机,Boarding,action,
托运,Check In,action,
登机牌,Boarding Pass,object,
入境,Entry,action,
出境,Departure,action,
广播,PA,action,
延误,Delay,action,
取消,Cancel,action,
起飞,Takeoff,action,
离地,Liftoff,action,
爬升,Climb,action,
巡航,Cruise Altitude,modifier,
高度,Altitude,modifier,
下降,Descent,action,
襟翼,Flap,object,
降落,Landing,action,
接地,Touchdown,action,
廊桥,Jet Bridge,object,
转盘,Baggage Carousel,object,
遗失,Lost,modifier,
购物,Shopping,action,
椅,Seat,object,
舷梯,Airstairs,object,
除冰,Deice,action,
牵引,Tow,action,
指令,Command,action,
引导,Guide,action,
迫降,Emergency Landing,action,
面罩,Oxygen Mask,object,
滑梯,Evac Slide,object,
充气,Inflate,action,
黑匣子,Black Box,object,
通知,Notice,action,
入住,Check In,action,
登记,Register,action,
房卡,Key Card,object,
上行,Ascend,action,
推车,Luggage Cart,object,
客房,Guest Room,object,
铺床,Make Bed,action,
换洗,Linen,action,
迷你吧,Mini Bar,object,
放水,Drain,action,
冲水,Flush,action,
调节,Adjust,action,
叫醒,Wake Up Call,action,
健身,Gym,modifier,
跳水,Dive,action,
按摩,Massage,action,
会议室,Meeting Room,object,
退房,Check Out,action,
打印,Print,action,
门童,Doorman,object,
泊车,Valet,action,
宴会,Banquet,object,
舞厅,Ballroom,object,
乐队,Band,object,
点单,Order,action,
熨烫,Iron,action,
疏散,Evacuate,action,
警笛,Siren,object,
突击,Raid,action,
现场,Crime Scene,object,
警戒,Perimeter,action,
弹壳,Shell Casing,object,
测距,Ranging,action,
标尺,Ruler Tool,object,
尸体,Body Bag,object,
笔录,Statement,object,
押送,Escort,action,
咔嚓,Snap,action,
拖拽,Drag,action,
击打,Strike,action,
电击,Taser,action,
喷射,Spray,action,
搜身,Pat Down,action,
扣押,Seize,action,
通缉,Wanted,modifier,
悬赏,Bounty,modifier,
通告,Notice,action,
牢房,Cell,object,
放风,Yard Time,action,
越狱,Escape,action,
嗅探,Sniff,action,
痕迹,Trace,object,
比对,Match,action,
回放,Playback,action,
调度,Dispatch,action,
接警,Dispatch Call,action,
火警,Fire Alarm,object,
工地,Construction Site,object,
塔吊,Tower Crane,object,
挖掘机,Excavator,object,
推土机,Bulldozer,object,
压路机,Road Roller,object,
绑扎,Rebar Tie,action,
钢板,Steel Plate,object,
安全网,Safety Net,object,
背心,Vest,object,
洞口,Opening,object,
弥漫,Diffuse,action,
打桩,Pile Drive,action,
钻孔,Drill,action,
破碎,Break,action,
爆破,Blast,action,
沉降,Settle,action,
修补,Patch,action,
涂层,Coating,object,
滚筒,Paint Roller,object,
吊顶,Ceiling,object,
安装,Install,action,
钥匙,Keys,object,
装修,Renovation,modifier,
物业,Property,modifier,
柜,Locker,object,
修剪,Trim,action,
浇灌,Watering,action,
游乐,Playground,modifier,
广场舞,Square Dance,object,
夜市,Night Market,object,
赶集,Market Day,action,
叫卖,Hawk Wares,action,
放血,Bleed,action,
榨油,Oil Press,action,
熏制,Smoke Cure,action,
候机厅,Terminal,object,
除冰车,Deicer Truck,object,
加油车,Fuel Truck,object,
牵引车,Tug,object,
盲降系统,ILS System,object,
氧气面罩,Oxygen Mask,object,
救生衣,Life Vest,object,
行李转盘,Baggage Carousel,object,
引航,Pilot Boat,modifier,
压载,Ballast,modifier,
舵机,Rudder,object,
海务,Marine Radio,modifier,
深水,Depth Charge,modifier,
海冰,Sea Ice,object,
系泊,Moor,action,
起锚,Weigh Anchor,action,
拖轮,Tugboat,object,
辅助,Tug Assist,modifier,
登轮,Board Ship,action,
登船,Board Ship,action,
货舱,Cargo Hold,object,
护航,Convoy,action,
舰队,Fleet,object,
鱼雷,Torpedo,object,
补给,Resupply,action,
灯塔,Lighthouse,object,
晕船,Seasick,action,
吊机,Port Crane,object,
浮标,Buoy,object,
海上,Maritime,modifier,
改装,Modify,action,
维修,Repair,action,
段,Segment,modifier,cedict误stage
抛光,Polish,action,
棚,Shed,modifier,
图,Chart,object,
连线,Live Link,action,
调车,Shunting,action,
变灯,Signal Change,action,
道口,Crossing,object,
平交,Grade Crossing,modifier,
受电,Pantograph,modifier,
进洞,Tunnel Entry,action,
列检,Train Inspect,action,
列尾,End Of Train,object,
溜放,Hump Release,action,
货场,Freight Yard,object,
平车,Flatcar,object,
棚车,Boxcar,object,
检票,Ticket Check,action,
接触,Catenary,modifier,
涵洞,Culvert,object,
砟,Ballast,object,
铺设,Lay Track,action,
换,Swap,action,
甩,Uncouple,action,
举升,Car Lift,modifier,
四轮,Wheel Align,modifier,
搭电,Jump Start,action,
拉拔,Dent Pull,action,
换胎,Pit Stop,action,
排位,Qualifying,modifier,
暖胎,Warm Up Lap,modifier,
冲线,Finish Line,action,
爆缸,Engine Blow,action,
洗车,Car Wash,modifier,
吸尘,Vacuum,action,
护板,Skid Plate,object,
车间,Workshop,object,
拆解,Disassemble,action,
塞,Spark Plug,object,
电瓶,Car Battery,object,
加氟,Refrigerant,action,
诊断,Diagnose,action,
读取,Scan Read,action,
退赛,DNF,action,
红旗,Red Flag,action,
贴膜,Tint Film,action,
趴,Stance,modifier,cedict误percent
低趴,Stance,modifier,
避震,Suspension,modifier,
尾翼,Spoiler,object,
冷,Intercooler,modifier,
起步,Launch,action,
新闻,News,modifier,
播报,Anchor Read,action,
耳返,In Ear Monitor,object,
监听,Monitor,action,
混音,Mixing,action,
试音,Mic Check,action,
防喷,Pop Filter,object,
领夹,Lavalier,modifier,
枪式,Shotgun Mic,modifier,
挑杆,Boom Pole,object,
补录,ADR Record,action,
转场,Transition,action,
调光,Light Board,action,
柔光,Softbox,object,
返送,Return Feed,action,
快切,Quick Cut,action,
彩条,Color Bars,object,
台标,Station ID,object,
货轮,Cargo Ship,object,
码头,Pier,object,
锚链,Anchor Chain,object,
螺旋桨,Propeller,object,
弃船,Abandon Ship,action,
海盗,Pirate,action,
潜艇,Submarine,object,
钻井,Offshore Rig,object,
风电,Wind Farm,object,
碎裂,Shatter,action,
靠岸,Dock,action,
客舱,Cabin,object,
呕吐,Vomit,action,
轨道,Rail,object,
编组,Yard Makeup,action,
道岔,Switch,object,
信号灯,Signal,object,
栏杆,Boom Gate,object,
轮对,Wheelset,object,
转向架,Bogie,object,
制动,Brake Test,action,
供电,Power Section,object,
桥梁,Bridge Pass,action,
枕木,Sleeper,object,
钢轨,Rail Weld,object,
探伤,Flaw Detect,action,
机车,Locomotive,object,
重联,Multi Unit,action,
解体,Split,action,
到达,Arrival,action,
出发,Departure,action,
驼峰,Hump Yard,object,
卸货,Unload,action,
清洗,Tank Clean,action,
卧铺,Sleeper Car,object,
餐车,Dining Car,object,
举升机,Car Lift,object,
动平衡,Wheel Balance,object,
定位,Alignment,action,
变速箱,Gearbox,object,
刹车片,Brake Pad,object,
机油,Engine Oil,object,
冷却液,Coolant,object,
火花塞,Spark Plug,object,
喷漆,Spray Paint,action,
凹陷,Dent,object,
挡风玻璃,Windshield,object,
雨刮器,Wiper,object,
进站,Pit Entry,action,
加油,Refuel,action,
维修区,Pit Lane,object,
庆祝,Celebrate,action,
爆胎,Blowout,action,
安全车,Safety Car,object,
终止,Race Stop,action,
通道,Pit Lane,object,
车库,Garage,object,
打蜡,Wax,action,
内饰,Interior,object,
中冷器,Intercooler,object,
烧胎,Burnout,action,
涉水,Wade,action,
提词器,Teleprompter,object,
压缩器,Compressor,object,
均衡器,Equalizer,object,
混响,Reverb,object,
降噪,Noise Reduce,action,
录音棚,Recording Studio,object,
隔音,Soundproof,object,
罩,Hood Cover,object,
同期,Production Sound,action,
拟音,Foley,action,
衣物,Cloth Rustle,object,
道具,Prop,object,
片花,Promo,object,
特效,VFX,object,
合成,Composite,action,
聚光灯,Spotlight,object,
反光板,Reflector,object,
监视器,Monitor,object,
慢动作,Slo Mo,action,
剪辑,Edit,action,
天气预报,Weather Forecast,object,
演播室,Studio,object,
记者,Reporter,object,
转播,Outside Broadcast,action,
卫星,Satellite,object,
微波,Microwave Link,object,
讯道,Channel,object,
同步,Sync,action,
报时,Time Check,action,
呼号,Call Sign,object,
和面,Knead Dough,action,
鸣谢,Credits,action,
火球,Fireball,object,BOOM fireball
冰锥,Ice Shard,object,cedict误icicle
治疗,Heal,action,cedict误treat
增益,Buff,modifier,cedict误gain
减益,Debuff,modifier,
光环,Aura,design,
吟唱,Cast,action,
附魔,Enchant,action,
复生,Resurrect,action,cedict误recover
灵体,Spirit,object,cedict误soul
法阵,Magic Circle,object,
魔药,Potion,object,
炼金,Alchemy,modifier,
秘法,Arcane,modifier,
奥能,Arcane Energy,design,
酸液,Acid,modifier,
链击,Chain Lightning,action,
术,Spell,modifier,cedict误method
飘移,Drift,action,
融合,Fusion,action,
消散,Dissipate,action,
链甲,Chainmail,material,
板甲,Plate Armor,material,
长剑,Longsword,object,
投石,Catapult,object,
吊闸,Portcullis,object,
战鼓,War Drum,object,
擂动,Drum Beat,action,
攻城,Siege,action,
云梯,Siege Ladder,object,cedict误fire ladder
护城河,Moat,object,
城堡,Castle,object,cedict误rook
战斧,Battle Axe,object,
铁匠,Blacksmith,object,
磨刀,Sharpen,action,
木桶,Barrel,object,
诗人,Bard,object,
朋克,Punk,modifier,
黑客,Hacker,object,
入侵,Hack,action,
神经,Neural,modifier,
芯片,Chip,object,
植入,Implant,action,
防火墙,Firewall,object,
破解,Crack,action,
病毒,Virus,object,
上传,Upload,action,
义体,Cyberware,object,
义眼,Cyber Eye,object,
钛合金,Titanium,material,
星舰,Starship,object,
飞车,Hovercar,object,
义肢,Prosthetic,object,
地下城,Dungeon,object,
小怪,Mob,object,
精英,Elite,modifier,cedict误cream
巨魔,Troll,object,
窃笑,Giggle,action,
大军,Horde,object,
巫,Witch,object,
喷火,Fire Breath,action,
幼龙,Wyrmling,object,
凤凰,Phoenix,object,
独角兽,Unicorn,object,
等级,Level,modifier,cedict误rank
获取,Gain,action,
炉,Forge,object,cedict误stove
阅读,Read,action,
公会,Guild,object,
邀请,Invite,action,
副本,Instance,object,cedict误copy
史诗,Epic,modifier,
稀有,Rare,modifier,
绑定,Bind,action,
童谣,Lullaby,object,
照亮,Illuminate,action,
怨灵,Wraith,object,
哭泣,Sob,action,
棺材,Coffin,object,
坟墓,Grave,object,
散落,Scatter,action,
腐肉,Carrion,object,
孵化,Hatch,action,
寄生,Parasite,object,
虫,Bug,object,cedict误person
照片,Photo,object,
柜中,Inside Locker,modifier,
警告,Alert,action,cedict误warn
加载,Loading,action,
暂停,Pause,action,
画质,Graphics,modifier,
映射,Keybind,action,
对比,Compare,action,
蓝条,Mana Bar,object,
图标,Icon,object,
飘字,Damage Number,detail,
伤害,Damage,detail,
成,Success,detail,cedict误OK
入账,Credit,action,
读档,Load Game,action,
多人,Multiplayer,modifier,
匹配,Matchmaking,action,
创建,Create,action,
钟表,Clock,object,
飞艇,Airship,object,
铆钉,Rivet,object,
护目镜,Goggles,object,
锻造,Forge,action,cedict误forge重复
兽人,Orc,object,
哥布林,Goblin,object,
食人魔,Ogre,object,
地精,Gnome,object,
骷髅,Skeleton,object,
巫妖,Lich,object,
巨龙,Dragon,object,
树人,Treant,object,
史莱姆,Slime,object,
掉落,Loot Drop,action,
拾取,Pickup,action,
金币,Gold Coin,object,
任务,Quest,object,
经验,XP,object,
技能,Skill,object,
天赋,Talent,object,
装备,Equip,action,
卷轴,Scroll,object,
营地,Camp,object,
存档,Save Point,object,
复活点,Respawn Point,object,
传送石,Teleport Stone,object,
组队,Party,action,
首领,Raid Boss,object,
传说,Legendary,modifier,
装备栏,Inventory,object,
诅咒物品,Cursed Item,object,
灵魂绑定,Soulbound,modifier,
女妖,Banshee,object,BOOM
黑暗,Dark,modifier,
心跳,Heartbeat,detail,
呼吸,Breath,detail,
回响,Echo,detail,
吱呀,Creak,action,
嘎吱,Squeak,action,
地下室,Basement,object,
阁楼,Attic,object,
邪教,Cult,object,
血祭,Blood Ritual,action,
骸骨,Skeleton Bone,object,
触手,Tentacle,object,
异形,Alien,object,
变异,Mutant,action,
追逐,Chase,action,
躲藏,Hide,action,
录像带,VHS Tape,object,
死亡,Death,modifier,
按钮,Button,object,
确认,Confirm,action,
错误,Error,detail,
弹窗,Popup,object,
进度,Progress,detail,
设置,Settings,object,
音量,Volume,modifier,
手柄,Gamepad,object,
悬停,Hover,action,
滑块,Slider,object,
复选框,Checkbox,object,
下拉,Dropdown,modifier,
标签,Tab,object,
背包,Inventory,object,
技能树,Skill Tree,object,
天赋面板,Talent Panel,object,
任务日志,Quest Log,object,
小地图,Minimap,object,
血条,Health Bar,object,
连击,Combo,action,
暴击,Critical Hit,action,
经验条,XP Bar,object,
排行榜,Leaderboard,object,
蒸汽朋克,Steampunk,modifier,BOOM
发条,Clockwork,modifier,
黄铜,Brass,material,
赛博,Cyber,modifier,BOOM cyber
能量武器,Energy Weapon,object,
脉冲,Pulse,design,
电磁,Electromagnetic,modifier,
高斯,Gauss,modifier,
轨道炮,Railgun,object,
数据流,Data Stream,detail,
EMP,EMP,design,
机械臂,Mech Arm,object,
动力骨骼,Power Exo,object,
霓虹街道,Neon Street,object,
雨夜,Rainy Night,modifier,
巡逻机器人,Patrol Bot,object,
激光栅栏,Laser Grid,object,
离子风暴,Ion Storm,object,
等离子护盾,Plasma Shield,object,
奥术屏障,Arcane Barrier,object,
奥术偏转,Arcane Deflect,action,
暗影箭,Shadow Arrow,object,
神圣打击,Holy Strike,action,
亡灵复生,Undead Rise,action,
灵魂抽取,Soul Drain,action,
魔力涌动,Mana Surge,action,
元素融合,Elemental Fusion,action,
冰霜新星,Frost Nova,object,
烈焰风暴,Fire Storm,object,
自然缠绕,Nature Entangle,action,
时空扭曲,Time Warp,action,
法力耗尽,Mana Empty,detail,
骑士,Knight,object,
格挡,Block,action,
齐射,Volley,action,
钉头锤,Mace,object,
吟游,Bard,modifier,
旗帜,Flag,object,
俘虏,Prisoner,object,
盔甲,Armor,object,
铁笼,Iron Cage,object,
架设,Erect,action,
蜂群,Swarm,object,
隐身,Invisibility,modifier,
电视,TV,object,
战,Battle,modifier,cedict误war
恢复,Restore,action,
过杆,Vault,action,
腾跃,Vault,action,
落槌,Gavel,object,
书记员,Clerk,object,
呈堂,Present Evidence,action,
验钞,Bill Counter,modifier,
点钞,Bill Count,action,
母舰,Mothership,object,
主炮,Main Cannon,object,
炮列,Cannon Battery,object,
偏导,Deflector,modifier,
舰炮,Ship Cannon,object,
续关,Continue,action,
必杀,Special Move,action,
大招,Ultimate,action,
剑击,Sword Slash,action,
冰杖,Ice Staff,object,
像素,Pixel,modifier,BOOM
舰,Ship,modifier,cedict误warship
键,Button,modifier,cedict误key
百米,Sprint,modifier,cedict误hectometer
跨栏,Hurdle,action,
标枪,Javelin,object,
三级,Triple Jump,modifier,
接力,Relay,action,
蛙泳,Breaststroke,action,
蹬腿,Kick,action,
体操,Gymnastics,modifier,
滑冰,Skate,action,
马术,Equestrian,modifier,
法庭,Courtroom,object,
开庭,Court Open,action,
法官,Judge,object,
法警,Bailiff,object,
律师,Lawyer,object,
辩护,Defense,action,
检察官,Prosecutor,object,
证人,Witness,object,
陪审团,Jury,object,
商议,Deliberate,action,
证据,Evidence,object,
展示,Present,action,
签署,Sign,action,
诉讼,Lawsuit,action,
仲裁,Arbitration,action,
裁决,Verdict,action,
传票,Summons,object,
送达,Serve,action,
拘留,Detain,action,
金,Gold,modifier,
罚款,Fine,action,
缴纳,Pay,action,
拍卖,Auction,action,
贷款,Loan,action,
审批,Approve,action,
利率,Interest Rate,object,
汇率,Exchange Rate,object,
股票,Stock,object,
交易,Trade,action,
基金,Fund,object,
申购,Subscribe,action,
债券,Bond,object,
取款,Withdraw,action,
柜台,Teller Counter,object,
汇款,Wire Transfer,action,
支票,Check,object,
清算,Liquidate,action,
遗嘱,Will,object,
继承,Inherit,action,
税务,Tax,modifier,
稽查,Audit,action,
盖章,Stamp,action,
旗舰,Flagship,object,
跃迁,Warp,action,
机库,Hangar,object,
驱逐舰,Destroyer,object,
巡洋舰,Cruiser,object,
战列舰,Battleship,object,
拦截,Interceptor,object,
殖民,Colony,modifier,
贸易,Trade Ship,modifier,
走私,Smuggler,modifier,
赏金,Bounty Hunter,modifier,
帝国,Imperial,modifier,
叛军,Rebel,modifier,
离子,Ion,modifier,
相位,Phaser,modifier,
舰桥,Bridge,object,
命令,Command,action,
阵列,Array,object,
超空间,Hyperspace,modifier,
航道,Lane,object,
星图,Star Chart,object,
行星,Planet,object,
大气,Atmosphere,modifier,
弹射,Ejection,action,
座椅,Seat,object,
反重力,Anti Gravity,modifier,
网络,Network,object,
议会,Council,object,
使团,Delegation,object,
条约,Treaty,object,
宣言,Declaration,action,
8bit,8 Bit,modifier,
16bit,16 Bit,modifier,
复古,Retro,modifier,
提示,Alert,action,
高分,High Score,object,
关卡,Stage,object,
必杀技,Special Move,object,
大招释放,Ultimate Release,action,
闪避,Dodge,action,
弹幕,Bullet Hell,object,
机关,Mechanism,object,
陷阱,Trap,object,
平台,Platform,object,
弹簧,Spring,object,
冰杖射击,Ice Staff Shot,object,
回复,Restore,action,
商人,Merchant,object,
感叹号,Quest Marker,object,
对话框,Dialog Box,object,
打字机,Typewriter,object,
光标,Cursor,object,
移动,Move,action,
音乐,Music,object,
演示,Attract Mode,action,
虫鸣,Insect Chirp,source,zhtest
鸟叫,Bird Chirp,action,zhtest
冰斧,Ice Axe,object,zhtest
冰砖,Ice Brick,material,zhtest
轰油门,Revving,action,zhtest
落叶林,Deciduous Forest,modifier,zhtest
飞过去,Fly By,action,zhtest
9 毫米手枪,PISTOL,detail,ucs_synonym_zh
CD 播放器,AUDIO VISUAL,detail,ucs_synonym_zh
CT机,MEDICAL,detail,ucs_synonym_zh
U-haul 卡车,FREIGHT,detail,ucs_synonym_zh
X 光机,MEDICAL,detail,ucs_synonym_zh
adr 哔哔声,TEST TONE,detail,ucs_synonym_zh
一毛钱,COIN,detail,ucs_synonym_zh
三录仪,MECHANISM,detail,ucs_synonym_zh
三翼飞机,PROP,detail,ucs_synonym_zh
三角龙,DINOSAUR,detail,ucs_synonym_zh
三轮车,ATV,detail,ucs_synonym_zh
上升,MUSICAL,detail,ucs_synonym_zh
上发条,RATCHET,detail,ucs_synonym_zh
上拉,ZIP,detail,ucs_synonym_zh
上菜,POUR,detail,ucs_synonym_zh
下坠,BASS DIVE,detail,ucs_synonym_zh
下巴,BONE,detail,ucs_synonym_zh
下巴咬合,BONE,detail,ucs_synonym_zh
下水道,UNDERGROUND,detail,ucs_synonym_zh
下沉,BASS DIVE,detail,ucs_synonym_zh
下滑,BASS DIVE,detail,ucs_synonym_zh
不可归类的,WTF,detail,ucs_synonym_zh
不吉利,DRONE,detail,ucs_synonym_zh
不寒而栗,EERIE,detail,ucs_synonym_zh
不明飞行物,SPACESHIP,detail,ucs_synonym_zh
不符合列表中分类的其他生物,MISC,detail,ucs_synonym_zh
世嘉游戏机,VIDEO,detail,ucs_synonym_zh
业余无线电,TRANSCEIVER,detail,ucs_synonym_zh
丛林,TROPICAL,detail,ucs_synonym_zh
丛林或热带雨林的雨水落在植物叶子上,VEGETATION,detail,ucs_synonym_zh
两毛五,COIN,detail,ucs_synonym_zh
两轮电动平衡车,ELECTRIC,detail,ucs_synonym_zh
个人渔船,MOTORBOAT,detail,ucs_synonym_zh
中土,DESIGNED,detail,ucs_synonym_zh
中土世界,FANTASY,detail,ucs_synonym_zh
中弹,IMPACT,detail,ucs_synonym_zh
中提琴,STRINGED,detail,ucs_synonym_zh
主观视角,TONAL,detail,ucs_synonym_zh
主题公园,AMUSEMENT,detail,ucs_synonym_zh
主题公园小火车,AMUSEMENT,detail,ucs_synonym_zh
举重床,GYM,detail,ucs_synonym_zh
乌德琴,PLUCKED,detail,ucs_synonym_zh
乌鸦,CROW,detail,ucs_synonym_zh
乐句,SONG & PHRASE,detail,ucs_synonym_zh
乐器,INSTRUMENT,detail,ucs_synonym_zh
乘客电梯,ELEVATOR,detail,ucs_synonym_zh
乙烯基,PLASTIC,detail,ucs_synonym_zh
乡村,SUBURBAN,detail,ucs_synonym_zh
书柜,FURNITURE,detail,ucs_synonym_zh
乱舞,GUST,detail,ucs_synonym_zh
乳制品,FARM,detail,ucs_synonym_zh
争夺,ANIMAL,detail,ucs_synonym_zh
事故,EMERGENCY,detail,ucs_synonym_zh
二冲程发动机,COMBUSTION,detail,ucs_synonym_zh
二氧化碳报警器,ELECTRONIC,detail,ucs_synonym_zh
云雀,SONGBIRD,detail,ucs_synonym_zh
云雾林,FOREST,detail,ucs_synonym_zh
五分钱,COIN,detail,ucs_synonym_zh
五彩纸屑,FLUTTER,detail,ucs_synonym_zh
五金,LATCH,detail,ucs_synonym_zh
五金制品,HARDWARE,detail,ucs_synonym_zh
亡灵,HUMANOID,detail,ucs_synonym_zh
交换,MARKET,detail,ucs_synonym_zh
交谈,CONVERSATION,detail,ucs_synonym_zh
产品声音,TRADEMARKED,detail,ucs_synonym_zh
亲吻,KISS,detail,ucs_synonym_zh
人声,VOCAL,detail,ucs_synonym_zh
人工的,DESIGNED,detail,ucs_synonym_zh
人浪,HUMAN,detail,ucs_synonym_zh
人类屁,REAL,detail,ucs_synonym_zh
人类放屁,REAL,detail,ucs_synonym_zh
人群,URBAN,detail,ucs_synonym_zh
人造场景,DESIGNED,detail,ucs_synonym_zh
仓鼠,RODENT,detail,ucs_synonym_zh
仙女,SMALL,detail,ucs_synonym_zh
仙女翼,CREATURE,detail,ucs_synonym_zh
任天堂64,VIDEO,detail,ucs_synonym_zh
传动装置,GEARS,detail,ucs_synonym_zh
传染器,ELECTROMAGNETIC,detail,ucs_synonym_zh
传真机,OFFICE,detail,ucs_synonym_zh
传真电话,OFFICE,detail,ucs_synonym_zh
传送器,MACHINE,detail,ucs_synonym_zh
传送带,ESCALATOR,detail,ucs_synonym_zh
伤口,FLESH,detail,ucs_synonym_zh
伺服,MOVEMENT,detail,ucs_synonym_zh
伽马,BEAM,detail,ucs_synonym_zh
低声细语,QUIET,detail,ucs_synonym_zh
低语,WHISPER,detail,ucs_synonym_zh
低音下降,BASS DIVE,detail,ucs_synonym_zh
低音单簧管,WOODWIND,detail,ucs_synonym_zh
低音提琴,STRINGED,detail,ucs_synonym_zh
低音潜水,BASS DIVE,detail,ucs_synonym_zh
低音爆炸,BOOM,detail,ucs_synonym_zh
低音鼓,PERCUSSION,detail,ucs_synonym_zh
低频声,EARTHQUAKE,detail,ucs_synonym_zh
住宅,SUBURBAN,detail,ucs_synonym_zh
体育场,CHEERING,detail,ucs_synonym_zh
体育赛事,SPORT,detail,ucs_synonym_zh
余音,TONAL,detail,ucs_synonym_zh
作呕,VOMIT,detail,ucs_synonym_zh
作物喷粉器,PROP,detail,ucs_synonym_zh
佳能,CAMERA,detail,ucs_synonym_zh
供应商,MARKET,detail,ucs_synonym_zh
侧滑,PRESENCE,detail,ucs_synonym_zh
便器,PLASTIC,detail,ucs_synonym_zh
便士,COIN,detail,ucs_synonym_zh
保险丝,SIZZLE,detail,ucs_synonym_zh
保险丝燃烧,SIZZLE,detail,ucs_synonym_zh
保险库,METAL,detail,ucs_synonym_zh
保险箱,METAL,detail,ucs_synonym_zh
信号,TEST TONE,detail,ucs_synonym_zh
信号枪,MISC,detail,ucs_synonym_zh
信天翁,SEA,detail,ucs_synonym_zh
信息,DATA,detail,ucs_synonym_zh
修剪剪刀,GARDEN,detail,ucs_synonym_zh
修剪机,GARDEN,detail,ucs_synonym_zh
倒出,POUR,detail,ucs_synonym_zh
倒空,POUR,detail,ucs_synonym_zh
候诊室,HOSPITAL,detail,ucs_synonym_zh
倭黑猩猩,PRIMATE,detail,ucs_synonym_zh
倾倒,COLLAPSE,detail,ucs_synonym_zh
倾盆大雨,GENERAL,detail,ucs_synonym_zh
偏转,RICOCHET,detail,ucs_synonym_zh
停顿,RHYTHMIC,detail,ucs_synonym_zh
健身球,GYM,detail,ucs_synonym_zh
健身脚踏车,GYM,detail,ucs_synonym_zh
健身自行车,GYM,detail,ucs_synonym_zh
傻笑,LAUGH,detail,ucs_synonym_zh
儒艮,AQUATIC,detail,ucs_synonym_zh
儿童乐园,AMUSEMENT,detail,ucs_synonym_zh
儿童骑行,AMUSEMENT,detail,ucs_synonym_zh
光剑,WEAPON,detail,ucs_synonym_zh
光束,BEAM,detail,ucs_synonym_zh
