raw,canonical_guess,kind,slot_guess,record_count,field_hit_count,example_count,score,decision,reason,source_fields,example_1,example_2,example_3,catid_samples,category_samples,source_files,fx_name_hits,description_hits,keywords_hits,filename_hits,field_quality,example_quality,category_alignment,existing_canonical_status,approved_for_ai,qa_flags
pounder,Pounder,token,unknown,334,465,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Punchy Pounder"",""description"":""PROCESSED HIT LOW Fluttering shots, like liquefied laser hurl."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Rock Pounder"",""description"":""PROCESSED RUPTURE Heavy rumbling and smashing down."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""16 Pounder 150m"",""description"":""Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano; DSGNMisc,GUNS/CANNON; DESIGNED/MISC,00_Cannons_CK_Metadata.xlsx#CACK; 00_Brute_Force_Metadata.xlsx#Brute Force,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
aggressive,Aggressive,token,unknown,331,550,3,20,reject,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Camel Guttural Male Growl Aggressive"",""description"":""Domestic, Bactrian, Mammal. Angry, deep, throaty growling and groaning."",""category"":""ANIMALS/MISC"",""cat_id"":""ANMLMisc""}","{""fx_name"":""Fox Bark Aggressive Sequence"",""description"":""Wild, Mammal. Angry, furious tonal barking, grunting and snarling."",""category"":""ANIMALS/WILD"",""cat_id"":""ANMLWild""}","{""fx_name"":""Lion Growl Aggressive"",""description"":""Wild, Cat, Feline, Predator, Mammal. Angry, threatening growling and snarling."",""category"":""ANIMALS/CAT WILD"",""cat_id"":""ANMLWcat""}",WHSH; ANMLWcat; ANMLFarm; MUSCWind; BIRDTrop,SWOOSHES/WHOOSH; ANIMALS/CAT WILD; ANIMALS/FARM; MUSICAL/WOODWIND; BIRDS/TROPICAL,00_Alien_Life_CK_Metadata.xlsx#ALCK; 00_Cinematic_Expressions_CK_Metadata.xlsx#CXCK Metadata; 00_Anime_Essentials_Metadata.xlsx#Anime; 00_Casual_UI_CK_Metadata.xlsx#CK,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
strong,Strong,token,unknown,325,340,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=5; description=14; keywords=1; filename=0,"{""fx_name"":""Updraft Strong"",""description"":""Updraft winds sweep through a mixed forest ahead of a large storm front. Debris heard falling at times."",""category"":""WEATHER/STORM"",""cat_id"":""STORM""}","{""fx_name"":""Strong Accent Modulation"",""description"":""Glimmering sound with dominant accent modulation."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""Tonal Exhaust Strong"",""description"":""Strong intensity exhaust air outbursts. Thick hissing with additional tonal elements."",""category"":""AIR/HISS"",""cat_id"":""AIRHiss""}",GUNCano; WHSH; TOONSqk; STORM; DSGNSynth,#REF!/#REF!; SWOOSHES/WHOOSH; CARTOON/SQUEAK; WEATHER/STORM; DESIGNED/SYNTHETIC,00_Brute_Force_Metadata.xlsx#Brute Force; 00_Cannons_CK_Metadata.xlsx#Kopie von CANNONS Shots DS; 00_Anime_Essentials_Metadata.xlsx#Anime; 00_TOOTS_Metadata.xlsx#Tabelle1; 00_3DS14_Thunderstorm_Chaser_Stereo_Metadata.xlsx#3DS14 Stereo,5,14,1,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
mammal,Mammal,token,unknown,323,323,3,0,reject,record_count>=100 +15; unknown_generic_token -20; policy=unknown,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Asian Palm Civet Growl Moan"",""description"":""Wild, Toddy Cat, Mammal. Furious, tonal screaming, moaning and jabbering."",""category"":""ANIMALS/MISC"",""cat_id"":""ANMLMisc""}","{""fx_name"":""Camel Groan Female Bothered Moaning"",""description"":""Domestic, Bactrian, Mammal. Desperate, long, tonal moaning and groaning."",""category"":""ANIMALS/MISC"",""cat_id"":""ANMLMisc""}","{""fx_name"":""Camel Groan Female Tonal Long"",""description"":""Domestic, Bactrian, Mammal. Intense, throaty groaning and moaning."",""category"":""ANIMALS/MISC"",""cat_id"":""ANMLMisc""}",ANMLMisc,ANIMALS/MISC,00_Alien_Life_CK_Metadata.xlsx#ALCK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;rejected_evidence
slightly,Slightly,token,unknown,321,322,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=1; description=18; keywords=1; filename=0,"{""fx_name"":""Slightly Out Of Phase"",""description"":""Phased tonal layer with drifting stereo spread and soft modulation."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":"""",""description"":""Fast passenger train drive by with light clacking sounds. Stereo."",""category"":""Vehicles/Trains"",""cat_id"":""""}","{""fx_name"":""Thunder Danger Close Loud Clashing"",""description"":""Recordist nearly hit by lightning stroke, extreme close call and very loud, slightly clipping."",""category"":""WEATHER/THUNDER"",""cat_id"":""THUN""}",BIRDPrey; ANMLWcat; ANMLFarm; ANMLAqua; DSGNMisc,BIRDS/BIRD OF PREY; ANIMALS/CAT WILD; ANIMALS/FARM; ANIMALS/AQUATIC; DESIGNED/MISC,00_Alien_Life_CK_Metadata.xlsx#ALCK; 00_Violent_Combat_CK_Metadata.xlsx#VCCK; Trains_Stereo.xlsx#Trains - Stereo; 00_3DS14_Thunderstorm_Chaser_Stereo_Metadata.xlsx#3DS14 Stereo,1,18,1,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
additional,Additional,token,unknown,319,319,3,0,reject,record_count>=100 +15; unknown_generic_token -20; policy=unknown,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Bass Modulated"",""description"":""Modulated bassy whooshes with additional swirling and wobbling elements."",""category"":""SWOOSHES/WHOOSH"",""cat_id"":""WHSH""}","{""fx_name"":""Complex Modulated"",""description"":""Modulated and complex whooshes with additional warping and sizzling elements on top."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Digital Filter Texture Slow"",""description"":""Filtered, digital noise texture with slow movement and additional warping and piercing elements."",""category"":""SWOOSHES/WHOOSH"",""cat_id"":""WHSH""}",WHSH; DSGNMisc; DSGNDist,SWOOSHES/WHOOSH; DESIGNED/MISC; DESIGNED/DISTORTION,00_Cinematic_Motion_Metadata_CK.xlsx#CMCK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;rejected_evidence
auto,Auto,token,unknown,317,963,3,20,reject,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Bergmann MP28 Auto 0m"",""description"":""Open bolt blowback submachine gun, cal 9x19mm. Lavalier attached to the collar of the shooter. Second World War, WWII Weapons."",""category"":""GUNS/AUTOMATIC"",""cat_id"":""GUNAuto""}","{""fx_name"":""Bergmann MP28 Auto 100m"",""description"":""Open bolt blowback submachine gun, cal 9x19mm. X/Y handheld recorder positioned 100m from the shooter position in a nearby forest. Second W…"",""category"":""GUNS/AUTOMATIC"",""cat_id"":""GUNAuto""}","{""fx_name"":""Bergmann MP28 Auto 20m"",""description"":""Open bolt blowback submachine gun, cal 9x19mm. ORTF3D positioned 20m behind the shooter. Second World War, WWII Weapons."",""category"":""GUNS/AUTOMATIC"",""cat_id"":""GUNAuto""}",GUNAuto,GUNS/AUTOMATIC,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK,20,0,0,0,high,high,aligned,existing_unknown,no,duplicate_examples;rejected_evidence
clacking,Clacking,token,unknown,317,441,3,0,reject,record_count>=100 +15; unknown_generic_token -20; policy=unknown,fx_name=0; description=0; keywords=20; filename=0,"{""fx_name"":"""",""description"":""DOOR WOOD MEDIUM Opening aged, wooden door fast. Snappy mechanics and soft squeaks."",""category"":""DOORS/WOOD"",""cat_id"":""""}","{""fx_name"":"""",""description"":""DOOR WOOD MEDIUM Closing thin, wooden door with turning knob. Snappy and clicking mechanics followed by slightly reverberant shut."",""category"":""DOORS/WOOD"",""cat_id"":""""}","{""fx_name"":"""",""description"":""DOOR WOOD MEDIUM Opening thin, wooden door with rattling and snappy mechanic handle."",""category"":""DOORS/WOOD"",""cat_id"":""""}",,Vehicles/Trains; DOORS/WOOD; WATER/MISC,Trains_Stereo.xlsx#Trains - Stereo; 00_Doors_Metadata.xlsx#Doors; 00_Mutate_Organic_CK.xlsx#MOCK,0,0,20,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
dense,Dense,token,unknown,314,339,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=9; description=4; keywords=7; filename=0,"{""fx_name"":""Frogs Close Dense"",""description"":""A large and dense population of frogs chirp and croak closely in a small swamp. Trilling insects present throughout. Occasional splashes an…"",""category"":""AMBIENCE/SWAMP"",""cat_id"":""AMBSwmp""}","{""fx_name"":""Particles Metal Dense Whispers Chanting"",""description"":""Long, slow, and scratch like sound."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Bubble Low Fast Dense"",""description"":""Bubbly with high piercing elements. Very fast movement."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",DSGNMisc; GUNCano; AMBSwmp; MAGShim; DSGNSrce,DESIGNED/MISC; GUNS/CANNON; DESIGNED/SYNTHETIC; AMBIENCE/SWAMP; MAGIC/SHIMMER,00_Mutate_Organic_CK.xlsx#MOCK; 00_Cinematic_Motion_Metadata_CK.xlsx#CMCK; 00_Magic_Wisp_CK_Metadata.xlsx#MAWCK; 00_Cannons_DS_Metadata.xlsx#CADS; 00_Cyber_Weapons_CK_Metadata.xlsx#CWCK,9,4,7,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
producing,Producing,token,unknown,314,314,3,0,reject,record_count>=100 +15; unknown_generic_token -20; policy=unknown,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Frequency Bending"",""description"":""Short, dynamic sharp accent characterized by frequency modulation, producing a warping effect."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""Acorn Leaves Fast"",""description"":""Swift and rustling movement of acorn leaves, producing a fast whooshing sound."",""category"":""SWOOSHES/WHOOSH"",""cat_id"":""WHSH""}","{""fx_name"":""Block One Shot"",""description"":""Impact of a wooden block being struck once, producing a percussive collision."",""category"":""WOOD/TONAL"",""cat_id"":""WOODTonl""}",OBJCoin; MUSCStr; MUSCPerc; DSGNSynth; WHSH,OBJECTS/COIN; MUSICAL/STRINGED; MUSICAL/PERCUSSION; METAL/IMPACT; DESIGNED/SYNTHETIC,00_Casual_UI_CK_Metadata.xlsx#CK; 00_Cinematic_Expressions_CK_Metadata.xlsx#CXCK Metadata; 00_Cinematic_Impacts_CK_Metadata.xlsx#CICK; 00_Anime_Essentials_Metadata.xlsx#Anime,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;rejected_evidence
surface,Surface,token,unknown,310,356,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=18; description=0; keywords=2; filename=0,"{""fx_name"":""Glass Surface"",""description"":""Liquid interacting with a glass surface."",""category"":""WATER/IMPACT"",""cat_id"":""WATRImpt""}","{""fx_name"":""Glass Surface Plop"",""description"":""Glass surface plop characterized by its distinct and resonant nature."",""category"":""WATER/IMPACT"",""cat_id"":""WATRImpt""}","{""fx_name"":""Glass Surface Tonal Pop Ascending"",""description"":""Liquid colliding with a glass surface, producing a tonal ascending pop."",""category"":""WATER/IMPACT"",""cat_id"":""WATRImpt""}",WATRBubl; WATRImpt; ROCKMvmt; DSGNWhsh,WATER/BUBBLES; WATER/IMPACT; ROCKS/MOVEMENT; DESIGNED/WHOOSH; LIQUID & MUD/BUBBLES,00_Magic_Alchemy_CK_Metadata.xlsx#MALCK; 00_Casual_UI_CK_Metadata.xlsx#CK; 00_Mutate_Organic_CK.xlsx#MOCK; 00_Superheroes_Speed_and_Strength_CK_Metadata.xlsx#SHCK,18,0,2,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
magazine,Magazine,token,unknown,309,317,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=5; description=15; keywords=0; filename=0,"{""fx_name"":""Magazine Close"",""description"":""Smooth rustling and thud as a magazine is gently closed shut."",""category"":""PAPER/HANDLE"",""cat_id"":""PAPRHndl""}","{""fx_name"":""Magazine Fast Wave"",""description"":""Captures the swift movement and rustling of paper as the magazine is waved quickly through the air."",""category"":""PAPER/MISC"",""cat_id"":""PAPRMisc""}","{""fx_name"":""Magazine Page Turn"",""description"":""Smooth rustling and flipping as a page is turned over."",""category"":""PAPER/HANDLE"",""cat_id"":""PAPRHndl""}",PAPRHndl; MECHGear; GUNMech; PAPRMisc,TOYS/MECHANICAL; GUNS/MECHANISM; PAPER/HANDLE; MECHANICAL/GEARS; TOOLS/HAND,00_Toy_Guns_Metadata.xlsx#Toy Guns; 00_Casual_UI_CK_Metadata.xlsx#CK; 00_SciFi_Momentum_Metadata_CK.xlsx#CK; 00_Toolbox_Metadata.xlsx#MBTB; 00_WWII_Firearms_DS_Metadata.xlsx#WWII Firearms DS,5,15,0,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
fluttering,Fluttering,token,unknown,308,326,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=9; description=11; keywords=0; filename=0,"{""fx_name"":""Fluttering Distorted White Noise"",""description"":""Turbulent, fluttering static with a distorted edge."",""category"":""DESIGNED/WHOOSH"",""cat_id"":""""}","{""fx_name"":""Fluttering White Noise Sine Blend"",""description"":""Fluttering white noise mixed with sine wave tones."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""""}","{""fx_name"":""Air Fluttering"",""description"":""Zombie, Alien, Extraterrestrial, Mutate. Male voice, sucking in air with cheek movement."",""category"":""CREATURES/HUMANOID"",""cat_id"":""CREAHmn""}",CREAHmn; ANMLAqua; CREASrce; DSGNMisc; METLTonl,CREATURES/HUMANOID; ANIMALS/AQUATIC; CREATURES/SOURCE; DESIGNED/SYNTHETIC; DESIGNED/MISC,00_Creatures_Humanoid_CK_Metadata.xlsx#CRHCK; 00_Alien_Life_CK_Metadata.xlsx#ALCK; 00_Aquatic_Predators_Metadata.xlsx#Aquatic Predators; 00_Cinematic_Impacts_CK_Metadata.xlsx#CICK; 00_Anime_Essentials_Metadata.xlsx#Anime,9,11,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
ball,Ball,token,unknown,305,441,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Bouzouki Ball Bouncing On Strings"",""description"":""Several quick notes are played at increasing speed."",""category"":""MUSICAL/STRINGED"",""cat_id"":""MUSCStr""}","{""fx_name"":""Cello Ball Bouncing"",""description"":""Tapping on a string over and over again in quick motion."",""category"":""MUSICAL/STRINGED"",""cat_id"":""MUSCStr""}","{""fx_name"":""Particles Drum Bouncing Ball"",""description"":""Muted rattle like sound."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",METLMvmt; SCIEnrg; MUSCStr; DSGNMisc; SCIImpt,METAL/MOVEMENT; SCIFI/ENERGY; MUSICAL/STRINGED; DESIGNED/MISC; SCIFI/IMPACT,00_Magic_Alchemy_CK_Metadata.xlsx#MALCK; 00_SciFi_Momentum_Metadata_CK.xlsx#CK; 00_Cinematic_Expressions_CK_Metadata.xlsx#CXCK Metadata; 00_MATTER_Metadata.xlsx#MATTER; 00_Magic_Wisp_CK_Metadata.xlsx#MAWCK,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
gritty,Gritty,token,unknown,301,502,3,20,reject,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Distorted Noise Gritty Small Zap"",""description"":""Small, distorted jolt with a gritty, crackling noise and a sharp impact."",""category"":""DESIGNED/IMPACT"",""cat_id"":""DSGNImpt""}","{""fx_name"":""Gritty Crunch"",""description"":""Gritty impact with a pronounced crunch sound."",""category"":""DESIGNED/IMPACT"",""cat_id"":""DSGNImpt""}","{""fx_name"":""Gritty Delay"",""description"":""Rough, textured jiggle with a delayed effect."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",METLFric; GUNCano; DSGNImpt; DSGNWhsh; DSGNMisc,GUNS/CANNON; #REF!/#REF!; DESIGNED/IMPACT; DESIGNED/WHOOSH; DESIGNED/MISC,00_Cannons_CK_Metadata.xlsx#CACK; 00_Anime_Essentials_Metadata.xlsx#Anime; 00_Cannons_CK_Metadata.xlsx#CANNONS Foley,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
rapid,Rapid,token,unknown,296,317,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=5; description=2; keywords=13; filename=0,"{""fx_name"":""Rapid Shot"",""description"":""Swift, crisp laser shot noise."",""category"":""LASERS/MISC"",""cat_id"":""LASRMisc""}","{""fx_name"":""Plastic Shuffle Rapid"",""description"":""Action of rapidly shuffling a deck of plastic cards."",""category"":""GAMES/MISC"",""cat_id"":""GAMEMisc""}","{""fx_name"":""Rapid Dust"",""description"":""Fast, gritty discharge flaring into a cloud of kinetic debris."",""category"":""MAGIC/MISC"",""cat_id"":""MAGMisc""}",LASRMisc; GAMEMisc; MAGMisc; MAGSpel; DSGNWhsh,LASERS/GUN; SCIFI/WEAPON; LASERS/MISC; GAMES/MISC; MAGIC/MISC,00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_Anime_Essentials_Metadata.xlsx#Anime; 00_Magic_Alchemy_DS_Metadata.xlsx#MALDS; 00_Cyber_Weapons_DS_Metadata.xlsx#CWDS; 00_Casual_UI_CK_Metadata.xlsx#CK,5,2,13,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
encoded,Encoded,token,unknown,294,294,3,0,reject,record_count>=100 +15; unknown_generic_token -20; policy=unknown,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Alien Murmur"",""description"":""Low level communication, encoded susurration."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""Digital Ripples"",""description"":""Binary interceptions, encoded communication."",""category"":""SCIFI/ENERGY"",""cat_id"":""SCIEnrg""}","{""fx_name"":"""",""description"":""Long driving ambience of diesel loco recorded from an opened door. Grinding sounds of tracks and some light rattling parts and clacking ele…"",""category"":""Vehicles/Trains"",""cat_id"":""""}",DSGNSynth; SCIEnrg,Vehicles/Trains; DESIGNED/SYNTHETIC; SCIFI/ENERGY,Trains_Stereo.xlsx#Trains - Stereo; 00_MATTER_Metadata.xlsx#MATTER,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;rejected_evidence
audi,Audi,token,unknown,293,293,3,0,reject,record_count>=100 +15; unknown_generic_token -20; policy=unknown,fx_name=0; description=0; keywords=0; filename=20,"{""fx_name"":"""",""description"":""VEHICLE COMPACT CAR Driving. External, in engine compartment. 2007 gasoline."",""category"":""Vehicles/Cars"",""cat_id"":""""}","{""fx_name"":"""",""description"":""VEHICLE COMPACT CAR Driving. External, at exhaust. 2007 gasoline."",""category"":""Vehicles/Cars"",""cat_id"":""""}","{""fx_name"":"""",""description"":""VEHICLE COMPACT CAR Driving. Internal, inside car. 2007 gasoline."",""category"":""Vehicles/Cars"",""cat_id"":""""}",,Vehicles/Cars,01 Everyday Cars - Tracklist.xlsx#Everyday Cars Tracklist,0,0,0,20,low,low,weak,existing_unknown,no,filename_only;category_mismatch;rejected_evidence
ghoul,Ghoul,token,unknown,290,296,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=6; description=14; keywords=0; filename=0,"{""fx_name"":""Ghoul Attack Long"",""description"":""Fantasy, Ghul, Horror, Male, Voice, Vocal, Undead. Male ghoul gasping long, throaty, wet and slimy."",""category"":""CREATURES/HUMANOID"",""cat_id"":""CREAHmn""}","{""fx_name"":""Ghoul Attack Short"",""description"":""Fantasy, Ghul, Horror, Male, Voice, Vocal, Undead. Male ghoul gasping short, throaty, wet and slimy."",""category"":""CREATURES/HUMANOID"",""cat_id"":""CREAHmn""}","{""fx_name"":""Ghoul Death"",""description"":""Fantasy, Ghul, Horror, Male, Voice, Vocal, Undead. Male ghoul gasping and moaning throaty, wet and slimy."",""category"":""CREATURES/HUMANOID"",""cat_id"":""CREAHmn""}",CREAHmn,CREATURES/HUMANOID,00_Creatures_Humanoid_CK_Metadata.xlsx#CRHCK; 00_Creatures_Humanoid_DS_Metadata.xlsx#CRHDS,6,14,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
mortar,Mortar,token,unknown,290,502,3,20,reject,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Mortar 45 100m"",""description"":""Antique artillery, historic cannon mortar, cal 45mm. ORTF3D Hi positioned 100m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""Mortar 45 150m"",""description"":""Antique artillery, historic cannon mortar, cal 45mm. Four channel Ambisonics positioned 150m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""Mortar 45 1m"",""description"":""Antique artillery, historic cannon mortar, cal 45mm. Small AB positioned 1m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano,GUNS/CANNON,00_Cannons_CK_Metadata.xlsx#CACK,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
punch,Punch,token,unknown,289,609,3,20,reject,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Lead In High Punch Distortion"",""description"":""Impactful punch characterised by a lead-in of high-pitched distortion."",""category"":""FIGHT/IMPACT"",""cat_id"":""FGHTImpt""}","{""fx_name"":""Lead In High Punch Slap"",""description"":""Impactful punch characterised by a lead-in of high-pitched slap-like tones."",""category"":""FIGHT/IMPACT"",""cat_id"":""FGHTImpt""}","{""fx_name"":""Old School Punch"",""description"":""Impactful burst of white noise characterized by a vintage, old-school punch."",""category"":""DESIGNED/IMPACT"",""cat_id"":""DSGNImpt""}",DSGNMisc; GUNCano; FGHTImpt; DSGNImpt; CLOTHFlp,DESIGNED/MISC; GUNS/CANNON; FIGHT/IMPACT; DESIGNED/IMPACT; #REF!/#REF!,00_Brute_Force_Metadata.xlsx#Brute Force; 00_Anime_Essentials_Metadata.xlsx#Anime; 00_Cannons_CK_Metadata.xlsx#METADATA STRATA; 00_Cannons_CK_Metadata.xlsx#CACK; 00_Cannons_CK_Metadata.xlsx#CANNONS Impacts,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
toymech,Toymech,token,unknown,288,576,3,5,reject,record_count>=100 +15; field_diversity>=1.5 +10; unknown_generic_token -20; policy=unknown,fx_name=0; description=0; keywords=20; filename=0,"{""fx_name"":"""",""description"":""Nerf gun trigger pulled, producing short, sharp, resonant click."",""category"":""TOYS/MECHANICAL"",""cat_id"":""""}","{""fx_name"":"""",""description"":""Nerf gun quickly reloaded, producing sharp, resonant clank."",""category"":""TOYS/MECHANICAL"",""cat_id"":""""}","{""fx_name"":"""",""description"":""Nerf gun slowly reloaded and plastic makes scraping noise as it moves back and forth, ending with two clanks."",""category"":""TOYS/MECHANICAL"",""cat_id"":""""}",,TOYS/MECHANICAL,00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_Toy_Guns_Metadata.xlsx#Toy Guns,0,0,20,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
automatic,Automatic,token,unknown,287,295,3,0,reject,record_count>=100 +15; unknown_generic_token -20; policy=unknown,fx_name=0; description=14; keywords=6; filename=0,"{""fx_name"":"""",""description"":""DOOR ELECTRIC MEDIUM Opening and shutting electric door of supermarket. Alternating opening and closing within variations."",""category"":""DOORS/ELECTRIC"",""cat_id"":""""}","{""fx_name"":"""",""description"":""DOOR ELECTRIC MEDIUM Opening and shutting electric door of supermarket. Alternating opening and closing within variations. Heavily rattling…"",""category"":""DOORS/ELECTRIC"",""cat_id"":""""}","{""fx_name"":"""",""description"":""DOOR ELECTRIC MEDIUM Shutting automatic metal glass door. Stuttering squeak, then snappy click shut. Reverberant."",""category"":""DOORS/ELECTRIC"",""cat_id"":""""}",,DOORS/ELECTRIC; GUNS/RIFLE; GUNS/MISC; SCIFI/WEAPON; VEHICLES/WINDOW,00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_Doors_Metadata.xlsx#Doors; 00_Cyber_Weapons_DS_Metadata.xlsx#CWDS,0,14,6,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
parts,Parts,token,unknown,286,288,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=1; description=19; keywords=0; filename=0,"{""fx_name"":""Hollow Parts"",""description"":""Hollow metallic pieces movement and friction elements. Thin metal randomized rattling."",""category"":""METAL/MOVEMENT"",""cat_id"":""METLMvmt""}","{""fx_name"":""Wood Plywood Bar Bell"",""description"":""Harsh hit with steel ball on wooden pieces. Some breaking and sliding parts."",""category"":""GUNS/CANNON"",""cat_id"":""WOODImpt""}","{""fx_name"":"""",""description"":""Toy caarr body removed and put back together. Short click followed by rotation of parts coming together or being taken apart."",""category"":""MECHANICAL/MISC"",""cat_id"":""""}",GOREBlood; GUNCano; METLMvmt; WOODImpt; DSGNWhsh,GORE/BLOOD; GUNS/CANNON; METAL/MOVEMENT; MECHANICAL/MISC; MOTORS/SERVO,00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_Cannons_CK_Metadata.xlsx#METADATA STRATA; 00_Cannons_DS_Metadata.xlsx#METADATA STRATA; 00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_Doors_Metadata.xlsx#Doors,1,19,0,0,medium,medium,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
